Sample	10	11	12	13	14	15	16	17	18	19	1	20	2	3	4	5	6	7	8	9	MT	X
GRASO_121	4879145	1584472	5456984	1321637	7829194	1375896	1140554	1626720	1239761	1773157	8545750	1969417	4353713	3226041	2965252	3896361	8282858	5532593	4570855	2368083	2794262	2700067
GRASO_122	4945802	2019284	11854886	1593324	7420828	1683381	1444904	2056294	1644007	2394126	8591425	2715618	5390110	3775909	3872638	3760128	10586854	9797164	6419384	2836720	2600258	4902414
GRASO_123	13601695	3721809	23753035	1025831	22274731	2479926	825854	2515859	1777500	4731638	10055134	1319523	13473058	5312471	3847984	4244240	37181725	18237227	8394950	4575890	998657	7856748
GRASO_124	2553613	1056596	9007259	752950	2529423	711166	753151	943086	740527	1410618	4403558	1038449	3347293	1869655	1906363	2239800	8165777	8111189	4452949	1203975	2419667	3452547
GRASO_125	6088200	1938244	8655367	1665869	6081997	1945571	1256609	2365741	1715597	2630069	8882016	1923697	5942647	3973300	3685554	3936050	11851579	8292003	5722419	2870518	2163374	5063407
GRASO_126	5075133	1590998	15634306	1186801	11048654	1462477	994848	1823044	1294545	3517493	8280870	1460964	5198917	3164978	3052466	3724803	19792183	10263455	7975393	2414710	3109091	5208285
GRASO_127	5261243	2063905	9125831	1742346	10147014	1734436	1681407	2172987	1659868	2703872	10086461	2706980	5558331	4082928	4072121	4328357	11618784	8462574	6729744	3031859	2677429	4913141
GRASO_128	6666062	1730773	13164530	1368121	8417074	1719818	1233942	2376385	1674408	2980090	9285378	1582390	5791517	3848317	4002788	3775119	16126123	10079347	6211137	3127467	2026619	4763281
GRASO_129	3014966	744919	6915336	306305	48850254	554555	493829	584557	380423	1803082	16301579	676390	2442345	1406270	1284821	9344354	17248295	8010942	2881356	1391829	307412	2541261
GRASO_130	5263606	1696558	8670411	1276820	4304095	1221834	1296051	1705060	1335138	2484795	8261167	2550578	4517682	3373458	3254099	3186021	10052725	8123486	5233049	2477381	1504503	3656083
GRASO_131	9238684	1919912	9141166	1133445	7731424	1189835	1235014	1734923	1289493	2687292	9125677	1927267	5980690	3846656	3761321	3470991	14328185	9090671	5266312	4284427	871036	3910408
GRASO_132	4451560	1354638	6975561	882998	2811606	901530	886386	1262805	990109	2115059	6311025	1961232	3588894	2354422	2350301	2252571	8750026	6870201	4228508	1845596	919263	3111769
GRASO_133	5549862	1535177	9991765	977605	3884774	993655	1085430	1453381	1167754	2522573	7805272	1920540	4022443	2642567	2713703	2737620	10863336	8183376	5233901	2020883	1359821	3686795
GRASO_134	2897892	932530	3724266	779501	1822909	730261	833413	953565	781435	1053688	5153974	1211296	2414292	1853676	1871151	1857723	4512376	3651907	3046926	1321232	1945251	1814103
GRASO_135	2483020	1064796	5644661	889595	2160174	814497	825974	1092877	855558	1268248	4374576	1079637	3175022	2086440	2102327	1973904	5802014	5390552	3882653	1399763	1776584	2748133
GRASO_136	6254740	1549988	10330513	905337	6792292	1034106	880874	1642186	1225787	2645577	8079219	1400364	4693533	3020017	2994509	3395651	14286788	8129863	4894930	2849050	679985	3984634
GRASO_137	2095475	846751	5479484	737093	3157420	666579	652193	832147	710870	1152204	3881291	852035	2368035	1585360	1643711	1693650	5452255	4889441	3529150	1243016	1690420	2538919
GRASO_138	4027968	1473331	6149303	1190423	6733078	1280940	1135630	1574476	1240588	1569010	7334990	2083499	3824307	2849622	2957705	3139976	9483817	5466807	4157169	2149037	2448892	2521165
GRASO_139	2567492	1034720	4302978	862946	2542799	889919	776557	1128976	900462	1033104	4540937	1419938	2802136	1991492	2025011	2061220	5864733	4843220	3060480	1454091	1544929	1912986
GRASO_140	4883529	1780726	12155706	1323230	5635177	1381019	1287836	2136259	1605530	2081167	8713081	2093647	5023822	3226011	3386006	3441057	13425041	9869610	5874296	2358693	3417320	4050644
GRASO_141	3884211	1413375	10701226	1052469	7825176	1210095	1036137	1670880	1239651	1995738	6551364	1775375	4000363	2638292	2767911	2831535	12345454	7617529	4736151	2044959	1785620	3598727
GRASO_142	3768347	1628730	7270271	1297388	6382440	1281865	1180804	1775428	1404991	1766388	9034882	2173063	4243454	2991591	3006332	3579635	10983160	6605533	4996380	2070706	1722815	3219240
GRASO_143	2845011	765501	6327232	347007	56805891	444022	425151	644851	467978	1068169	15777762	771429	2278378	1346803	1368231	9488717	15236681	6370138	2659907	1375609	163369	2271249
GRASO_144	905832	286576	1314382	260979	50910399	273622	240529	261451	274589	1517014	17267978	471932	1272288	547162	604696	8099847	11814635	1278453	1585223	1005278	6706303	696083
GRASO_145	15598900	5784094	29098900	5142889	31661199	5643165	4978235	7070561	5183955	9244209	31076666	6603752	17434948	12478653	11861317	12750265	32339814	29071629	20533143	8887559	8826327	15806413
GRASO_146	2756838	1410676	6653414	922124	15663395	888118	881520	1202472	957225	1825492	10018312	1726790	4418554	2266290	2106511	5423724	11112493	6018115	4600918	1461945	12433458	3327641
GRASO_147	2362981	1073990	4982071	870043	3770481	775347	845534	1051502	786082	1175407	4344537	1202925	3454217	2045599	1997220	2114342	5428696	4845506	3616714	1333616	3396413	2532235
GRASO_148	3002502	1282212	6975998	1125558	4858375	1044692	1143406	1362734	1048584	1844498	5980111	1535828	3908602	2502580	2431043	2657644	7260866	6398143	4826966	1697871	3763582	4981830
GRASO_149	2254545	984503	4069351	750486	3149002	717906	732759	911878	719751	1195451	4388297	1159098	2770905	1757992	1660589	1771858	4839053	3487200	2886785	1195931	2974512	1883933
GRASO_150	4356486	2046392	11846853	1593877	6445873	1496980	1538226	2069576	1637049	2576697	9545582	2451521	5842967	3733929	3591936	4114648	11387203	9351016	7178508	2481852	7753086	5200784
GRASO_151	3208717	1352951	7042791	1027260	4147720	959723	1021002	1325750	1006618	1834548	6602049	1794513	4115940	2390414	2301886	2862011	7989314	6240809	4651764	1646267	7578519	3023808
GRASO_152	4265742	1950200	6781517	1651938	3887848	1547242	1413651	2088726	1699968	1889031	8230933	2606568	4946625	3703262	3744858	3790954	7049299	6937856	6022688	2738400	4269858	4764827
GRASO_153	4858813	1545950	14524465	1311345	9801236	1281224	1259146	1650411	1278386	2797703	8926303	1927292	4462624	3078962	3015401	4195209	13017512	11645649	6512893	2207557	1446969	5142432
GRASO_154	1516861	513420	2067641	348748	2810143	330357	258685	448758	342755	489058	2443092	334905	1722811	954828	769703	1132782	3180286	2098305	1249155	643714	220125	951311
GRASO_155	6363091	2379706	18212295	1899902	9729447	1946440	1671478	2583775	1911627	4155576	11702446	2530649	7014791	4452952	4225745	4804955	17047181	15379060	11953463	3167204	3487320	7540715
GRASO_156	2051599	814898	7630537	561064	3121916	579202	686631	772667	542604	1452780	3660874	701381	2828420	1525028	1569293	1552476	7620958	6466129	3895580	993128	1110890	3163232
GRASO_157	2938646	1311454	5173897	1023216	4659114	927211	952648	1168482	956542	1305143	5384376	1298327	3755361	2292598	2166069	2398755	7010513	5103740	3992924	1673993	2127993	2702035
