Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
MUSCULO_119	109585.0	10492.0	13010.0
MUSCULO_120	115412.0	12424.0	13673.0
MUSCULO_61	117151.0	14534.0	16690.0
MUSCULO_62	122153.0	17678.0	19732.0
MUSCULO_63	119135.0	15533.0	17849.0
MUSCULO_64	109921.0	11164.0	12087.0
MUSCULO_65	108311.0	10022.0	11184.0
MUSCULO_66	112621.0	10355.0	12587.0
MUSCULO_67	105267.0	9670.0	11105.0
MUSCULO_68	104115.0	9486.0	11152.0
MUSCULO_69	108921.0	9954.0	12070.0
MUSCULO_70	107553.0	9705.0	11645.0
MUSCULO_71	112576.0	10954.0	12425.0
MUSCULO_72	102061.0	8201.0	9513.0
MUSCULO_73	113921.0	12820.0	14823.0
MUSCULO_74	120126.0	13353.0	16477.0
MUSCULO_75	113252.0	12087.0	13703.0
MUSCULO_76	119753.0	12459.0	14518.0
MUSCULO_77	124009.0	17586.0	21032.0
MUSCULO_78	118915.0	15277.0	17605.0
MUSCULO_79	114443.0	13039.0	15328.0
MUSCULO_80	111658.0	10725.0	12969.0
MUSCULO_81	111394.0	11393.0	12762.0
MUSCULO_82	112946.0	12632.0	15158.0
MUSCULO_83	119846.0	14974.0	18605.0
MUSCULO_84	118273.0	14020.0	15432.0
MUSCULO_85	116527.0	13293.0	15121.0
MUSCULO_86	110210.0	10945.0	12635.0
MUSCULO_87	116910.0	12673.0	14711.0
MUSCULO_88	116127.0	13188.0	17452.0
MUSCULO_89	107347.0	10023.0	11394.0
MUSCULO_90	125581.0	20368.0	25118.0
MUSCULO_91	118475.0	14727.0	16861.0
MUSCULO_92	118774.0	14518.0	17280.0
MUSCULO_93	114055.0	13154.0	16037.0
MUSCULO_94	108962.0	10580.0	13232.0
MUSCULO_95	117018.0	14448.0	16705.0
MUSCULO_96	115823.0	12050.0	18392.0
MUSCULO_97	102776.0	9276.0	12127.0
MUSCULO_98	117964.0	13979.0	19677.0
MUSCULO_99	116674.0	14153.0	16846.0
