Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
HIGADO_30	26550926.0	6537489.0	80348.0	784136.0	204557.0
HIGADO_31	19542613.0	5554117.0	24249.0	705401.0	145765.0
HIGADO_32	20970695.0	4630401.0	57819.0	486607.0	75869.0
HIGADO_33	23766007.0	6826237.0	111929.0	1032033.0	401882.0
HIGADO_34	43421652.0	12393189.0	73511.0	2082321.0	698017.0
HIGADO_35	20261213.0	7409031.0	62841.0	1373823.0	476693.0
HIGADO_36	28170114.0	7779667.0	34736.0	1092424.0	265624.0
HIGADO_37	22053922.0	5043121.0	21590.0	929228.0	146424.0
HIGADO_38	21591612.0	4951930.0	53984.0	757037.0	101487.0
HIGADO_39	25265123.0	7235876.0	76752.0	1063893.0	377291.0
HIGADO_40	21968027.0	6515488.0	24001.0	971014.0	324664.0
HIGADO_41	33366372.0	11748803.0	224879.0	1587717.0	805779.0
HIGADO_42	32946486.0	10307521.0	74464.0	1163976.0	408965.0
HIGADO_43	31574040.0	9076729.0	37955.0	1674439.0	601081.0
HIGADO_44	22089166.0	6601214.0	34677.0	1051569.0	426067.0
HIGADO_45	26401445.0	11512969.0	103273.0	1847039.0	817742.0
HIGADO_46	20990293.0	6301611.0	38930.0	669311.0	132175.0
HIGADO_47	17151613.0	6927604.0	110885.0	1057108.0	541446.0
HIGADO_48	20609470.0	10988258.0	93127.0	1506984.0	646818.0
HIGADO_49	37753368.0	13912734.0	77812.0	1429813.0	532149.0
HIGADO_50	23245467.0	7693876.0	102429.0	858951.0	241279.0
HIGADO_51	22004947.0	7042689.0	81994.0	910768.0	174916.0
HIGADO_52	27920307.0	11228088.0	84490.0	1503817.0	683553.0
HIGADO_53	19812314.0	7056092.0	37132.0	826141.0	214908.0
HIGADO_54	24694526.0	6002838.0	52568.0	815193.0	111019.0
HIGADO_55	18963223.0	7942777.0	41341.0	835224.0	326215.0
HIGADO_56	17357418.0	7681438.0	80774.0	917049.0	295142.0
HIGADO_57	22142143.0	13278112.0	307973.0	2215812.0	1397181.0
HIGADO_58	21329117.0	7412615.0	214635.0	1340944.0	630305.0
HIGADO_59	22338544.0	6880388.0	48219.0	977822.0	333070.0
HIGADO_60	19564982.0	9435714.0	269321.0	2050722.0	1370418.0
MUSCULO_100	58441353.0	15502455.0	158983.0	3963515.0	756456.0
MUSCULO_101	33568483.0	6373208.0	29776.0	1247953.0	332788.0
MUSCULO_102	16335219.0	3732262.0	82321.0	778775.0	90506.0
MUSCULO_103	16907892.0	5894196.0	63807.0	1489019.0	557759.0
MUSCULO_104	28116524.0	5515105.0	25153.0	1276136.0	161714.0
MUSCULO_105	24798357.0	6652742.0	48818.0	1731295.0	481664.0
