Sample	protein_coding	snoRNA	lincRNA	miRNA	pseudogene	snRNA	processed_pseudogene	rRNA	misc_RNA	ribozyme	sense_intronic	processed_transcript	TEC	antisense	scaRNA	sRNA	unprocessed_pseudogene	transcribed_processed_pseudogene	transcribed_unprocessed_pseudogene	Mt_tRNA	Mt_rRNA
MUSCULO_86	16685608.0	25857.0	5944.0	13100.0	14551.0	3532.0	8499.0	79.0	53131.0	56244.0	4.0	25873.0	464.0	57.0	4928.0	0.0	202.0	853.0	0.0	983.0	38329.0
MUSCULO_87	19866960.0	22192.0	10044.0	7970.0	17072.0	2141.0	7234.0	25.0	64768.0	62100.0	10.0	36542.0	383.0	50.0	6592.0	0.0	289.0	1122.0	1.0	1096.0	75204.0
MUSCULO_88	23640032.0	36116.0	9611.0	17352.0	18497.0	11994.0	11765.0	39.0	71499.0	69257.0	20.0	34480.0	702.0	107.0	6260.0	0.0	286.0	1057.0	0.0	1222.0	76359.0
MUSCULO_89	16842405.0	5473.0	5498.0	2359.0	11581.0	1364.0	4221.0	8.0	53867.0	10531.0	7.0	24205.0	365.0	46.0	3240.0	0.0	169.0	868.0	0.0	886.0	69469.0
MUSCULO_90	50639055.0	43798.0	18543.0	12760.0	45492.0	6030.0	18878.0	1531.0	137126.0	104598.0	21.0	72305.0	1541.0	199.0	12515.0	0.0	588.0	2288.0	0.0	1474.0	144151.0
MUSCULO_91	23921038.0	17263.0	11395.0	11162.0	23849.0	2924.0	13153.0	57.0	58960.0	59681.0	14.0	39169.0	843.0	86.0	6739.0	0.0	367.0	1673.0	0.0	562.0	39783.0
MUSCULO_92	25799311.0	17082.0	11643.0	7239.0	22886.0	3713.0	7633.0	110.0	95018.0	24365.0	23.0	54454.0	1033.0	78.0	6432.0	0.0	296.0	1438.0	0.0	731.0	36387.0
MUSCULO_93	22681133.0	13618.0	8651.0	3465.0	21156.0	1027.0	10152.0	64.0	47981.0	41246.0	6.0	29055.0	542.0	69.0	5414.0	0.0	274.0	1180.0	0.0	786.0	82110.0
MUSCULO_94	16884059.0	19570.0	6775.0	22364.0	12291.0	3497.0	10772.0	133.0	58641.0	46137.0	8.0	24429.0	536.0	43.0	4911.0	0.0	185.0	1139.0	0.0	706.0	36407.0
MUSCULO_95	26220361.0	21472.0	11902.0	10549.0	22158.0	1910.0	12162.0	52.0	66971.0	64250.0	14.0	40301.0	584.0	76.0	7575.0	0.0	280.0	1425.0	0.0	1246.0	74240.0
MUSCULO_96	18528663.0	19562.0	9944.0	14199.0	16108.0	3097.0	11339.0	57.0	67712.0	53490.0	17.0	47332.0	709.0	95.0	6667.0	0.0	251.0	1073.0	0.0	185.0	19551.0
MUSCULO_97	10428079.0	51576.0	4825.0	4044.0	10632.0	37428.0	5202.0	1214.0	59197.0	68083.0	8.0	15907.0	166.0	31.0	9411.0	0.0	119.0	380.0	0.0	1475.0	89809.0
MUSCULO_98	24215327.0	14055.0	14229.0	15265.0	19311.0	3399.0	11006.0	44.0	46253.0	44941.0	30.0	57461.0	932.0	104.0	5608.0	0.0	311.0	1265.0	0.0	368.0	14415.0
MUSCULO_99	25945395.0	25263.0	11812.0	17500.0	23759.0	4625.0	13870.0	90.0	81815.0	58218.0	8.0	36286.0	674.0	80.0	5887.0	0.0	323.0	1570.0	0.0	1606.0	93251.0
