Sample	protein_coding	snoRNA	lincRNA	miRNA	pseudogene	snRNA	processed_pseudogene	rRNA	misc_RNA	ribozyme	sense_intronic	processed_transcript	TEC	antisense	scaRNA	sRNA	unprocessed_pseudogene	transcribed_processed_pseudogene	transcribed_unprocessed_pseudogene	Mt_tRNA	Mt_rRNA
HIGADO_20	19001877.0	8486.0	41177.0	1258.0	21492.0	818.0	2698.0	1948.0	38380.0	70773.0	6.0	12507.0	2.0	27.0	3283.0	0.0	296.0	277.0	0.0	78.0	15453.0
HIGADO_21	44548068.0	21344.0	52772.0	1281.0	46543.0	3589.0	6936.0	452.0	90934.0	128409.0	7.0	96605.0	10.0	41.0	8009.0	0.0	4016.0	763.0	0.0	176.0	30479.0
HIGADO_22	12864771.0	7475.0	27259.0	854.0	13450.0	1769.0	1775.0	1396.0	12877.0	48121.0	9.0	8201.0	3.0	15.0	2103.0	0.0	277.0	171.0	0.0	60.0	15566.0
HIGADO_23	27734684.0	11610.0	52862.0	719.0	28818.0	1262.0	4241.0	2451.0	46461.0	70628.0	2.0	18290.0	5.0	27.0	3617.0	0.0	431.0	516.0	0.0	146.0	28869.0
HIGADO_24	29249300.0	17324.0	46351.0	690.0	31181.0	1473.0	4120.0	205.0	70264.0	102827.0	7.0	21470.0	4.0	22.0	5212.0	0.0	777.0	506.0	0.0	182.0	26235.0
HIGADO_25	13531993.0	3141.0	13174.0	283.0	13673.0	372.0	1654.0	13.0	8821.0	21265.0	8.0	19965.0	3.0	16.0	1114.0	0.0	1071.0	219.0	0.0	33.0	12714.0
HIGADO_26	18621833.0	5726.0	21518.0	472.0	24767.0	967.0	2192.0	83.0	24940.0	49562.0	4.0	15531.0	3.0	14.0	2452.0	0.0	454.0	362.0	0.0	100.0	14730.0
HIGADO_27	28449065.0	7602.0	31972.0	552.0	27125.0	1652.0	3762.0	50.0	32990.0	60098.0	2.0	47616.0	9.0	25.0	2268.0	0.0	1172.0	468.0	0.0	103.0	15494.0
HIGADO_28	18052677.0	3804.0	31812.0	354.0	17756.0	387.0	1960.0	6.0	12233.0	30633.0	7.0	12441.0	2.0	14.0	1377.0	0.0	401.0	267.0	0.0	53.0	10462.0
HIGADO_29	17201319.0	9833.0	21349.0	400.0	18639.0	2866.0	1968.0	115.0	30801.0	69000.0	5.0	15377.0	6.0	15.0	3095.0	0.0	528.0	293.0	0.0	77.0	12141.0
HIGADO_30	22539001.0	8775.0	53026.0	482.0	23942.0	2720.0	3312.0	1373.0	34413.0	61537.0	10.0	15029.0	2.0	15.0	2397.0	0.0	429.0	327.0	0.0	75.0	13018.0
HIGADO_31	16459242.0	6592.0	18625.0	456.0	18281.0	1240.0	2394.0	116.0	21185.0	59756.0	2.0	31889.0	7.0	19.0	2122.0	0.0	702.0	339.0	1.0	63.0	18758.0
HIGADO_32	18017034.0	4560.0	20867.0	913.0	18384.0	1175.0	2650.0	36.0	14142.0	32141.0	1.0	36915.0	3.0	14.0	1761.0	0.0	613.0	318.0	0.0	71.0	15242.0
HIGADO_33	20593825.0	9214.0	47743.0	438.0	20463.0	1358.0	2088.0	2884.0	17712.0	53188.0	2.0	14681.0	5.0	15.0	2245.0	0.0	446.0	308.0	0.0	103.0	26284.0
HIGADO_34	36540084.0	18698.0	40014.0	2416.0	35065.0	4372.0	4634.0	5471.0	54945.0	119277.0	6.0	49117.0	13.0	35.0	4748.0	0.0	2605.0	729.0	0.0	175.0	41600.0
HIGADO_35	16840612.0	13207.0	19297.0	567.0	17828.0	1970.0	3383.0	3026.0	31746.0	54745.0	1.0	16985.0	5.0	18.0	3589.0	0.0	320.0	298.0	0.0	188.0	27300.0
HIGADO_36	23781720.0	11183.0	51196.0	982.0	20155.0	1386.0	2771.0	2433.0	30951.0	61428.0	7.0	16267.0	11.0	37.0	2630.0	0.0	440.0	404.0	0.0	110.0	15013.0
HIGADO_37	18166953.0	6252.0	25508.0	538.0	18894.0	940.0	2252.0	22.0	25951.0	47634.0	3.0	14233.0	9.0	18.0	1898.0	0.0	406.0	338.0	0.0	87.0	23295.0
HIGADO_38	18443762.0	6700.0	36409.0	402.0	17382.0	959.0	2747.0	78.0	16613.0	42462.0	5.0	12605.0	5.0	5.0	1927.0	0.0	218.0	367.0	0.0	95.0	15627.0
HIGADO_39	21271849.0	10158.0	27889.0	519.0	21558.0	1369.0	2592.0	45.0	24984.0	77411.0	9.0	37859.0	3.0	14.0	3024.0	0.0	1128.0	349.0	0.0	129.0	21446.0
HIGADO_40	18361995.0	7894.0	22863.0	463.0	18501.0	1583.0	2089.0	868.0	28068.0	60410.0	2.0	32986.0	6.0	12.0	2316.0	0.0	939.0	352.0	1.0	145.0	23058.0
HIGADO_41	27759569.0	11013.0	51575.0	778.0	27922.0	1089.0	3813.0	5656.0	41171.0	84069.0	8.0	19747.0	5.0	23.0	4106.0	0.0	347.0	435.0	0.0	132.0	47102.0
HIGADO_42	27474442.0	17664.0	27171.0	2853.0	23663.0	2742.0	3867.0	2910.0	49279.0	75953.0	5.0	43818.0	7.0	21.0	4068.0	0.0	2134.0	454.0	0.0	94.0	19691.0
HIGADO_43	27067232.0	11860.0	30505.0	690.0	25715.0	905.0	3438.0	50.0	32550.0	61946.0	2.0	48616.0	7.0	23.0	2936.0	0.0	1050.0	468.0	0.0	130.0	14411.0
HIGADO_44	19013678.0	9433.0	24210.0	397.0	18186.0	806.0	2409.0	252.0	18531.0	69509.0	4.0	19176.0	7.0	27.0	2043.0	0.0	282.0	339.0	0.0	181.0	22697.0
HIGADO_45	22096503.0	14412.0	26685.0	1616.0	21762.0	1602.0	2893.0	186.0	47296.0	90591.0	12.0	18983.0	4.0	17.0	3608.0	0.0	481.0	414.0	0.0	114.0	37083.0
HIGADO_46	18238200.0	10582.0	22012.0	389.0	17055.0	664.0	2165.0	16.0	29125.0	59162.0	5.0	13090.0	2.0	14.0	2799.0	0.0	496.0	287.0	0.0	35.0	7719.0
HIGADO_47	14487611.0	6851.0	32121.0	3308.0	13215.0	675.0	1892.0	3300.0	20860.0	56343.0	3.0	9464.0	5.0	25.0	1889.0	0.0	232.0	234.0	0.0	139.0	21312.0
HIGADO_48	16371280.0	6973.0	39826.0	2333.0	16639.0	1601.0	2141.0	8862.0	31132.0	58425.0	3.0	10370.0	5.0	13.0	1994.0	0.0	292.0	234.0	0.0	106.0	23668.0
HIGADO_49	32124906.0	26274.0	65137.0	775.0	35092.0	3081.0	4550.0	358.0	76038.0	118152.0	6.0	22598.0	10.0	27.0	5253.0	0.0	699.0	478.0	0.0	247.0	62248.0
HIGADO_50	19755889.0	11191.0	38659.0	481.0	20260.0	2149.0	2570.0	71.0	35586.0	81058.0	6.0	13831.0	1.0	16.0	2786.0	0.0	370.0	303.0	0.0	90.0	29667.0
HIGADO_51	17403904.0	12447.0	43508.0	1492.0	14919.0	1341.0	2098.0	43.0	34862.0	69856.0	7.0	12458.0	8.0	24.0	2495.0	0.0	287.0	269.0	0.0	112.0	31307.0
HIGADO_52	23052583.0	25843.0	26062.0	658.0	22337.0	6443.0	3303.0	151.0	47031.0	138783.0	5.0	19411.0	7.0	29.0	3800.0	0.0	517.0	396.0	0.0	149.0	47270.0
HIGADO_53	16364467.0	9794.0	31842.0	416.0	15835.0	3444.0	2151.0	1500.0	32986.0	63849.0	4.0	12874.0	3.0	12.0	2495.0	0.0	322.0	253.0	0.0	63.0	18351.0
HIGADO_54	21668223.0	10504.0	38250.0	450.0	22356.0	1194.0	2798.0	61.0	25725.0	55845.0	3.0	16114.0	3.0	16.0	2545.0	0.0	537.0	316.0	0.0	136.0	30276.0
HIGADO_55	16163070.0	8458.0	19043.0	471.0	17104.0	1967.0	1885.0	118.0	32457.0	63104.0	5.0	20447.0	2.0	19.0	2810.0	0.0	1194.0	284.0	0.0	75.0	33822.0
HIGADO_56	14543945.0	10650.0	18002.0	1592.0	14524.0	1175.0	2034.0	1554.0	16998.0	48883.0	3.0	17533.0	2.0	11.0	1750.0	0.0	732.0	234.0	0.0	132.0	56811.0
HIGADO_57	18493449.0	19468.0	21859.0	1074.0	18055.0	2065.0	2299.0	304.0	30777.0	76707.0	0.0	22684.0	4.0	10.0	2791.0	0.0	924.0	262.0	0.0	202.0	69337.0
HIGADO_58	18337193.0	22424.0	22345.0	1602.0	18857.0	2395.0	2021.0	1036.0	15878.0	52996.0	7.0	16735.0	4.0	21.0	2523.0	0.0	531.0	260.0	0.0	215.0	56905.0
HIGADO_59	19522803.0	11750.0	19309.0	1451.0	22314.0	2239.0	2497.0	1654.0	21844.0	54862.0	2.0	28126.0	4.0	20.0	2364.0	0.0	768.0	302.0	0.0	122.0	21555.0
HIGADO_60	15976372.0	19522.0	17933.0	7276.0	17305.0	5698.0	2143.0	49.0	22586.0	92943.0	3.0	14266.0	4.0	13.0	2595.0	0.0	325.0	249.0	0.0	125.0	52910.0
MUSCULO_100	43899975.0	33531.0	18105.0	12045.0	34557.0	3700.0	20083.0	146.0	94292.0	85865.0	17.0	60877.0	721.0	99.0	9921.0	0.0	464.0	2436.0	0.0	1999.0	267185.0
MUSCULO_101	24585693.0	9294.0	8352.0	16078.0	21113.0	798.0	10299.0	34.0	28978.0	46863.0	15.0	33063.0	736.0	58.0	3707.0	0.0	276.0	1263.0	0.0	670.0	71428.0
MUSCULO_102	12507092.0	8975.0	5163.0	5372.0	9866.0	707.0	4686.0	1989.0	33425.0	40209.0	4.0	18095.0	328.0	35.0	2923.0	0.0	160.0	619.0	0.0	597.0	36082.0
MUSCULO_103	12058568.0	14726.0	4437.0	3112.0	10962.0	2889.0	5739.0	1669.0	40758.0	55826.0	2.0	16887.0	321.0	38.0	4204.0	0.0	146.0	727.0	0.0	939.0	72317.0
MUSCULO_104	19905368.0	17580.0	8803.0	13650.0	16650.0	3288.0	7362.0	68.0	54443.0	69299.0	12.0	39366.0	560.0	51.0	5081.0	1.0	249.0	790.0	0.0	794.0	38939.0
MUSCULO_105	18721147.0	15758.0	7697.0	14079.0	15951.0	2291.0	10545.0	115.0	55202.0	52871.0	10.0	23490.0	554.0	105.0	4879.0	0.0	259.0	1061.0	0.0	482.0	38100.0
MUSCULO_106	13613107.0	12746.0	5552.0	13117.0	11970.0	1667.0	6524.0	833.0	60901.0	45522.0	13.0	19246.0	338.0	81.0	4025.0	0.0	139.0	717.0	0.0	618.0	152414.0
MUSCULO_107	20314901.0	18496.0	8045.0	9640.0	17383.0	2889.0	9938.0	84.0	66204.0	58096.0	7.0	33253.0	682.0	119.0	5587.0	0.0	284.0	1067.0	0.0	636.0	51107.0
MUSCULO_108	30673318.0	26645.0	11197.0	9202.0	23505.0	3235.0	11318.0	122.0	95207.0	80459.0	9.0	40958.0	816.0	98.0	7453.0	0.0	349.0	1656.0	0.0	1799.0	190512.0
MUSCULO_109	15952377.0	6601.0	5972.0	4856.0	14571.0	1158.0	5971.0	15.0	24539.0	33257.0	2.0	26116.0	497.0	39.0	2565.0	0.0	216.0	792.0	0.0	349.0	44583.0
MUSCULO_110	14871358.0	11365.0	7257.0	13091.0	14913.0	1219.0	5928.0	77.0	41965.0	40732.0	9.0	24366.0	615.0	72.0	3353.0	0.0	200.0	966.0	0.0	338.0	71604.0
MUSCULO_111	13945227.0	16769.0	5751.0	7897.0	12421.0	2185.0	5556.0	92.0	68982.0	48254.0	9.0	20576.0	498.0	78.0	4331.0	0.0	151.0	799.0	0.0	462.0	47613.0
MUSCULO_112	19805616.0	19571.0	8395.0	10048.0	18755.0	4190.0	7856.0	529.0	117601.0	52496.0	6.0	33921.0	729.0	59.0	5609.0	0.0	240.0	1018.0	0.0	322.0	40764.0
MUSCULO_113	19750775.0	8664.0	11342.0	16876.0	15524.0	2069.0	8313.0	26.0	70858.0	32519.0	19.0	51141.0	717.0	131.0	7507.0	0.0	218.0	1126.0	0.0	388.0	25120.0
MUSCULO_114	19074739.0	11418.0	6659.0	3841.0	12009.0	3865.0	6775.0	88.0	77120.0	21241.0	8.0	41839.0	413.0	57.0	7118.0	2.0	191.0	809.0	0.0	981.0	192233.0
MUSCULO_115	24653472.0	14830.0	10807.0	12391.0	18364.0	3550.0	11193.0	121.0	93250.0	36275.0	21.0	54108.0	656.0	85.0	8367.0	1.0	256.0	1214.0	0.0	1044.0	73981.0
MUSCULO_116	36379926.0	52133.0	13002.0	19625.0	30057.0	57174.0	16900.0	1487.0	167177.0	122986.0	16.0	50144.0	768.0	129.0	10656.0	1.0	380.0	2021.0	0.0	3143.0	449304.0
MUSCULO_117	14858234.0	11497.0	6176.0	11615.0	12332.0	3818.0	6272.0	74.0	77265.0	31034.0	6.0	21421.0	406.0	51.0	3445.0	0.0	168.0	746.0	0.0	572.0	49287.0
