Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
GRASO_152	86012561	0	31848741	0	0	0	36984199	0	86012561	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	86012561
GRASO_153	105913036	0	60226776	0	0	0	29317605	0	105913036	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	105913036
GRASO_154	24837557	0	14015859	0	0	0	5895665	0	24837557	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	24837557
GRASO_155	144172589	0	76623910	0	0	0	47261914	0	144172589	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	144172589
GRASO_156	53303368	0	30657861	0	0	0	17881920	0	53303368	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	53303368
GRASO_157	60330847	0	26442171	0	0	0	21259600	0	60330847	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	60330847
GRASO_158	53207299	0	23373955	0	0	0	21612723	0	53207299	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	53207299
GRASO_159	129069174	0	61113698	0	0	0	47235056	0	129069174	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	129069174
GRASO_160	80251025	0	32109055	0	0	0	33757160	0	80251025	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	80251025
GRASO_161	57462349	0	24979911	0	0	0	22383274	0	57462349	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	57462349
GRASO_162	85605501	0	35522996	0	0	0	35881495	0	85605501	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	85605501
GRASO_163	58868087	0	25218657	0	0	0	24489691	0	58868087	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	58868087
GRASO_164	50055298	0	22117566	0	0	0	19103624	0	50055298	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	50055298
GRASO_165	78905781	0	34394791	0	0	0	32446914	0	78905781	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	78905781
GRASO_166	58610649	0	24047354	0	0	0	23489008	0	58610649	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	58610649
GRASO_167	53094773	0	25046411	0	0	0	20313179	0	53094773	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	53094773
GRASO_168	87968190	0	50454353	0	0	0	25764608	0	87968190	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	87968190
GRASO_169	121872747	0	88699579	0	0	0	28073513	0	121872747	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	121872747
GRASO_170	68866394	0	31161216	0	0	0	24103656	0	68866394	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	68866394
GRASO_171	64009159	0	23720851	0	0	0	25346702	0	64009159	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	64009159
GRASO_172	39670694	0	15629282	0	0	0	16662439	0	39670694	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	39670694
GRASO_173	36913138	0	16659349	0	0	0	12365878	0	36913138	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	36913138
GRASO_174	32743109	0	10370848	0	0	0	12892222	0	32743109	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	32743109
GRASO_175	56183686	0	28564575	0	0	0	18992248	0	56183686	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	56183686
GRASO_176	54942527	0	29155515	0	0	0	16857111	0	54942527	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	54942527
GRASO_177	37478424	0	16162214	0	0	0	11749735	0	37478424	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	37478424
GRASO_178	56491240	0	20362772	0	0	0	20633767	0	56491240	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	56491240
GRASO_179	81359102	0	32124759	0	0	0	26644403	0	81359102	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	81359102
GRASO_180	69985415	0	32880734	0	0	0	22520815	0	69985415	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	69985415
HIGADO_01	49682397	0	23811486	0	0	0	20843016	0	49682397	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	49682397
HIGADO_02	76185617	0	37094341	0	0	0	32648113	0	76185617	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	76185617
HIGADO_03	66228769	0	32698418	0	0	0	28244307	0	66228769	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	66228769
HIGADO_04	68662016	0	37916594	0	0	0	24932025	0	68662016	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	68662016
HIGADO_05	51094172	0	19971141	0	0	0	25474868	0	51094172	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	51094172
HIGADO_06	68263972	0	33987455	0	0	0	28630729	0	68263972	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	68263972
HIGADO_07	100671023	0	52055794	0	0	0	41596521	0	100671023	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	100671023
HIGADO_08	86221255	0	48379058	0	0	0	32350160	0	86221255	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	86221255
HIGADO_09	63811060	0	34189344	0	0	0	23964176	0	63811060	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	63811060
HIGADO_10	82893508	0	46452128	0	0	0	30074292	0	82893508	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	82893508
HIGADO_11	93790700	0	50913656	0	0	0	35928887	0	93790700	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	93790700
HIGADO_12	91985027	0	51559409	0	0	0	33925340	0	91985027	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	91985027
HIGADO_13	115399360	0	59691228	0	0	0	48426825	0	115399360	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	115399360
HIGADO_14	110612217	0	57600914	0	0	0	45652553	0	110612217	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	110612217
HIGADO_15	114670815	0	62847203	0	0	0	44756134	0	114670815	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	114670815
HIGADO_16	77525484	0	45791940	0	0	0	26978721	0	77525484	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	77525484
HIGADO_17	92561317	0	45885181	0	0	0	39543331	0	92561317	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	92561317
HIGADO_18	141860888	0	83537712	0	0	0	50821258	0	141860888	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	141860888
HIGADO_19	85461953	0	41397785	0	0	0	37182346	0	85461953	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	85461953
HIGADO_20	60663753	0	30753702	0	0	0	24587759	0	60663753	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	60663753
HIGADO_21	145900830	0	75141282	0	0	0	61145023	0	145900830	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	145900830
HIGADO_22	40809999	0	20880689	0	0	0	16256171	0	40809999	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	40809999
HIGADO_23	88296513	0	44284567	0	0	0	37026957	0	88296513	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	88296513
HIGADO_24	102999413	0	56628174	0	0	0	39870886	0	102999413	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	102999413
HIGADO_25	31567882	0	12559741	0	0	0	15130524	0	31567882	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	31567882
HIGADO_26	45077973	0	18347321	0	0	0	21561658	0	45077973	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	45077973
HIGADO_27	62114157	0	22512437	0	0	0	33269691	0	62114157	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	62114157
HIGADO_28	39240543	0	14646469	0	0	0	20006294	0	39240543	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	39240543
HIGADO_29	50438458	0	24371748	0	0	0	21145061	0	50438458	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	50438458
HIGADO_30	60398512	0	27310097	0	0	0	27367572	0	60398512	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	60398512
HIGADO_31	47458744	0	22362014	0	0	0	20321476	0	47458744	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	47458744
HIGADO_32	43013000	0	17411904	0	0	0	20688488	0	43013000	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	43013000
HIGADO_33	60498631	0	29906387	0	0	0	25470051	0	60498631	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	60498631
HIGADO_34	109422705	0	53607864	0	0	0	47494268	0	109422705	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	109422705
HIGADO_35	59950462	0	32280218	0	0	0	22851418	0	59950462	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	59950462
HIGADO_36	70394248	0	34444467	0	0	0	30220835	0	70394248	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	70394248
HIGADO_37	47191689	0	20094646	0	0	0	21563678	0	47191689	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	47191689
HIGADO_38	47164503	0	20620961	0	0	0	21723666	0	47164503	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	47164503
HIGADO_39	60938622	0	28437623	0	0	0	27070345	0	60938622	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	60938622
HIGADO_40	54750750	0	26267235	0	0	0	23569575	0	54750750	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	54750750
HIGADO_41	97452808	0	52337633	0	0	0	38022040	0	97452808	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	97452808
HIGADO_42	86011747	0	42757740	0	0	0	36193417	0	86011747	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	86011747
HIGADO_43	78885999	0	38235230	0	0	0	34720748	0	78885999	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	78885999
HIGADO_44	57440474	0	28750094	0	0	0	24165980	0	57440474	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	57440474
HIGADO_45	90400408	0	52485994	0	0	0	32403202	0	90400408	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	90400408
HIGADO_46	55273059	0	27981155	0	0	0	22825283	0	55273059	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	55273059
HIGADO_47	56591761	0	32512544	0	0	0	19935194	0	56591761	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	56591761
HIGADO_48	85785898	0	54188170	0	0	0	26394130	0	85785898	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	85785898
HIGADO_49	111672937	0	60006835	0	0	0	44165607	0	111672937	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	111672937
HIGADO_50	66770234	0	35830891	0	0	0	25547722	0	66770234	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	66770234
HIGADO_51	60594507	0	31546871	0	0	0	22765053	0	60594507	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	60594507
HIGADO_52	91963938	0	52815543	0	0	0	32708371	0	91963938	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	91963938
HIGADO_53	59606381	0	32737975	0	0	0	21695479	0	59606381	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	59606381
HIGADO_54	55867061	0	25169697	0	0	0	25420550	0	55867061	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	55867061
HIGADO_55	61873593	0	34967593	0	0	0	22238704	0	61873593	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	61873593
HIGADO_56	61336154	0	36297298	0	0	0	20569065	0	61336154	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	61336154
HIGADO_57	99137242	0	63716987	0	0	0	30429734	0	99137242	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	99137242
HIGADO_58	61933927	0	33192195	0	0	0	23586395	0	61933927	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	61933927
HIGADO_59	57270969	0	28052037	0	0	0	24135681	0	57270969	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	57270969
HIGADO_60	74820103	0	45819407	0	0	0	23784151	0	74820103	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	74820103
MUSCULO_100	144074977	0	70131169	0	0	0	63823622	0	144074977	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	144074977
MUSCULO_101	67049833	0	27108142	0	0	0	33367963	0	67049833	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	67049833
MUSCULO_102	36111275	0	16043794	0	0	0	15918914	0	36111275	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	36111275
MUSCULO_103	50074315	0	27272227	0	0	0	18465095	0	50074315	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	50074315
MUSCULO_104	59258643	0	25627014	0	0	0	27404656	0	59258643	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	59258643
MUSCULO_105	64133548	0	32682449	0	0	0	25879949	0	64133548	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	64133548
MUSCULO_106	55034660	0	30219670	0	0	0	20462099	0	55034660	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	55034660
MUSCULO_107	61157309	0	27721632	0	0	0	27219921	0	61157309	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	61157309
MUSCULO_108	90415207	0	39145776	0	0	0	43289504	0	90415207	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	90415207
MUSCULO_109	42403241	0	16918411	0	0	0	20576799	0	42403241	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	42403241
MUSCULO_110	52140657	0	26546351	0	0	0	20311426	0	52140657	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	52140657
MUSCULO_111	49218726	0	25253559	0	0	0	19075247	0	49218726	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	49218726
MUSCULO_112	56700196	0	24778573	0	0	0	26382264	0	56700196	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	56700196
MUSCULO_113	47215311	0	14033111	0	0	0	25984476	0	47215311	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	47215311
MUSCULO_114	54360167	0	22367283	0	0	0	26575372	0	54360167	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	54360167
MUSCULO_115	65932582	0	24350392	0	0	0	33852040	0	65932582	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	65932582
MUSCULO_116	132136351	0	69108914	0	0	0	54931697	0	132136351	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	132136351
MUSCULO_117	38470447	0	15461936	0	0	0	18774729	0	38470447	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	38470447
MUSCULO_118	60845865	0	27356294	0	0	0	27481339	0	60845865	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	60845865
MUSCULO_119	67329551	0	37392430	0	0	0	25050708	0	67329551	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	67329551
MUSCULO_120	50742600	0	21205614	0	0	0	23721469	0	50742600	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	50742600
MUSCULO_61	92193031	0	48254949	0	0	0	36810450	0	92193031	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	92193031
MUSCULO_62	88752868	0	32190829	0	0	0	47789949	0	88752868	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	88752868
