Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
HIGADO_37	28194285.0	97.0	22053922.0	78.22	97.16	7734388.0	7725008.0	7638390.0	55233.0	8974.0	31791.0	0.42	0.01	1.94	0.01	1.64	5043121.0	17.89	21590.0	0.08	0.0	3.3	0.52	0	929228	146424
HIGADO_38	27456050.0	97.0	21591612.0	78.64	97.14	8210397.0	8197527.0	8110257.0	50716.0	11538.0	37886.0	0.4	0.01	1.91	0.01	1.62	4951930.0	18.04	53984.0	0.2	0.0	2.76	0.37	0	757037	101487
HIGADO_39	34018935.0	98.0	25265123.0	74.27	97.48	8992617.0	8984962.0	8841783.0	99796.0	12088.0	38950.0	0.43	0.01	1.96	0.01	1.38	7235876.0	21.27	76752.0	0.23	0.0	3.13	1.11	0	1063893	377291
HIGADO_40	29803194.0	98.0	21968027.0	73.71	97.44	7892607.0	7882641.0	7798981.0	43838.0	11282.0	38506.0	0.43	0.01	1.96	0.01	1.6	6515488.0	21.86	24001.0	0.08	0.0	3.26	1.09	0	971014	324664
HIGADO_41	47733550.0	98.0	33366372.0	69.9	97.5	12434217.0	12416146.0	12272475.0	82009.0	20446.0	59287.0	0.4	0.01	2.0	0.01	1.62	11748803.0	24.61	224879.0	0.47	0.0	3.33	1.69	0	1587717	805779
HIGADO_42	44901412.0	97.0	32946486.0	73.38	97.16	12381505.0	12368143.0	12191853.0	109214.0	24569.0	55869.0	0.42	0.01	1.97	0.01	1.45	10307521.0	22.96	74464.0	0.17	0.0	2.59	0.91	0	1163976	408965
HIGADO_43	42964244.0	97.0	31574040.0	73.49	97.2	11818837.0	11806850.0	11673982.0	71181.0	19649.0	54025.0	0.44	0.01	2.16	0.01	1.65	9076729.0	21.13	37955.0	0.09	0.0	3.9	1.4	0	1674439	601081
HIGADO_44	30202693.0	97.0	22089166.0	73.14	97.14	7935996.0	7923871.0	7828218.0	63246.0	3314.0	41218.0	0.42	0.01	2.03	0.01	1.55	6601214.0	21.86	34677.0	0.11	0.0	3.48	1.41	0	1051569	426067
HIGADO_45	40682468.0	97.0	26401445.0	64.9	97.15	9396067.0	9381128.0	9266431.0	60027.0	22070.0	47539.0	0.43	0.01	2.07	0.01	1.61	11512969.0	28.3	103273.0	0.25	0.0	4.54	2.01	0	1847039	817742
HIGADO_46	28132320.0	98.0	20990293.0	74.61	97.61	8436815.0	8428155.0	8339269.0	58400.0	2976.0	36170.0	0.4	0.01	1.97	0.01	1.44	6301611.0	22.4	38930.0	0.14	0.0	2.38	0.47	0	669311	132175
HIGADO_47	25788656.0	97.0	17151613.0	66.51	97.27	6408733.0	6399927.0	6330527.0	37630.0	12925.0	27651.0	0.42	0.01	2.1	0.01	1.53	6927604.0	26.86	110885.0	0.43	0.0	4.1	2.1	0	1057108	541446
HIGADO_48	33844657.0	98.0	20609470.0	60.89	97.34	7464797.0	7454706.0	7326831.0	100606.0	6625.0	30735.0	0.43	0.02	2.1	0.01	1.45	10988258.0	32.47	93127.0	0.28	0.0	4.45	1.91	0	1506984	646818
HIGADO_49	53705876.0	98.0	37753368.0	70.3	97.45	15053981.0	15036162.0	14853876.0	116526.0	16473.0	67106.0	0.4	0.01	1.79	0.01	1.45	13912734.0	25.91	77812.0	0.14	0.0	2.66	0.99	0	1429813	532149
HIGADO_50	32142002.0	98.0	23245467.0	72.32	97.4	8999042.0	8988691.0	8880445.0	75993.0	7303.0	35301.0	0.38	0.01	1.98	0.01	1.61	7693876.0	23.94	102429.0	0.32	0.0	2.67	0.75	0	858951	241279
HIGADO_51	30215314.0	98.0	22004947.0	72.83	97.3	7820834.0	7813325.0	7665602.0	114172.0	10564.0	30496.0	0.41	0.01	1.9	0.01	1.63	7042689.0	23.31	81994.0	0.27	0.0	3.02	0.58	0	910768	174916
HIGADO_52	41420255.0	98.0	27920307.0	67.41	97.32	10734570.0	10722793.0	10573367.0	91266.0	20514.0	49423.0	0.39	0.01	2.04	0.01	1.35	11228088.0	27.11	84490.0	0.2	0.0	3.63	1.65	0	1503817	683553
HIGADO_53	27946587.0	98.0	19812314.0	70.89	97.39	7587011.0	7578191.0	7431273.0	113061.0	14068.0	28609.0	0.39	0.01	1.87	0.01	1.49	7056092.0	25.25	37132.0	0.13	0.0	2.96	0.77	0	826141	214908
HIGADO_54	31676144.0	97.0	24694526.0	77.96	97.13	10042875.0	10035368.0	9911640.0	89116.0	3756.0	38363.0	0.4	0.01	1.83	0.01	1.57	6002838.0	18.95	52568.0	0.17	0.0	2.57	0.35	0	815193	111019
HIGADO_55	28108780.0	98.0	18963223.0	67.46	97.46	7289370.0	7282363.0	7176030.0	74854.0	6827.0	31659.0	0.42	0.01	1.86	0.01	1.52	7942777.0	28.26	41341.0	0.15	0.0	2.97	1.16	0	835224	326215
HIGADO_56	26331821.0	97.0	17357418.0	65.92	97.28	6811099.0	6802799.0	6713061.0	53137.0	11191.0	33710.0	0.41	0.01	1.9	0.01	1.4	7681438.0	29.17	80774.0	0.31	0.0	3.48	1.12	0	917049	295142
HIGADO_57	39341221.0	97.0	22142143.0	56.28	97.32	8452728.0	8438081.0	8299390.0	94478.0	14585.0	44275.0	0.44	0.02	2.2	0.01	1.33	13278112.0	33.75	307973.0	0.78	0.0	5.63	3.55	0	2215812	1397181
HIGADO_58	30927616.0	97.0	21329117.0	68.96	97.35	8556973.0	8541290.0	8429804.0	64563.0	15050.0	47556.0	0.4	0.01	2.18	0.01	1.44	7412615.0	23.97	214635.0	0.69	0.0	4.34	2.04	0	1340944	630305
HIGADO_59	30578043.0	97.0	22338544.0	73.05	97.29	9159896.0	9146185.0	9026296.0	74466.0	10644.0	48490.0	0.41	0.01	2.02	0.01	1.46	6880388.0	22.5	48219.0	0.16	0.0	3.2	1.09	0	977822	333070
HIGADO_60	32691157.0	97.0	19564982.0	59.85	97.31	7425646.0	7413369.0	7318277.0	55907.0	9503.0	41959.0	0.41	0.02	2.33	0.02	1.3	9435714.0	28.86	269321.0	0.82	0.0	6.27	4.19	0	2050722	1370418
MUSCULO_100	78822762.0	96.0	58441353.0	74.14	96.05	18309377.0	18286373.0	18098698.0	127311.0	26508.0	56860.0	0.41	0.01	1.97	0.01	1.61	15502455.0	19.67	158983.0	0.2	0.0	5.03	0.96	0	3963515	756456
MUSCULO_101	41552208.0	97.0	33568483.0	80.79	97.04	11600283.0	11589162.0	11474144.0	86881.0	9048.0	30210.0	0.36	0.01	1.86	0.01	1.61	6373208.0	15.34	29776.0	0.07	0.0	3.0	0.8	0	1247953	332788
MUSCULO_102	21019083.0	97.0	16335219.0	77.72	96.85	5344059.0	5338676.0	5279580.0	45596.0	3721.0	15162.0	0.41	0.01	2.03	0.01	1.56	3732262.0	17.76	82321.0	0.39	0.0	3.7	0.43	0	778775	90506
MUSCULO_103	24912673.0	96.0	16907892.0	67.87	96.24	5515493.0	5508414.0	5456623.0	39284.0	2944.0	16642.0	0.38	0.01	1.98	0.01	1.48	5894196.0	23.66	63807.0	0.26	0.0	5.98	2.24	0	1489019	557759
MUSCULO_104	35094632.0	97.0	28116524.0	80.12	96.6	9582671.0	9571518.0	9480978.0	67639.0	5899.0	28155.0	0.35	0.01	2.03	0.01	1.59	5515105.0	15.71	25153.0	0.07	0.0	3.63	0.46	0	1276136	161714
MUSCULO_105	33712876.0	95.0	24798357.0	73.56	95.87	8986288.0	8976690.0	8888253.0	63176.0	9087.0	25772.0	0.37	0.01	2.1	0.01	1.57	6652742.0	19.73	48818.0	0.14	0.0	5.14	1.43	0	1731295	481664
MUSCULO_106	26306309.0	95.0	18247091.0	69.36	95.63	5952883.0	5946164.0	5887809.0	43497.0	4053.0	17524.0	0.4	0.01	2.05	0.01	1.64	6567899.0	24.97	76426.0	0.29	0.0	5.02	0.36	0	1320216	94677
MUSCULO_107	35047137.0	96.0	27432309.0	78.27	96.06	9564705.0	9553836.0	9464288.0	69253.0	6072.0	25092.0	0.36	0.01	1.94	0.01	1.71	6003368.0	17.13	32097.0	0.09	0.0	4.04	0.46	0	1417917	161446
MUSCULO_108	53614607.0	96.0	41302939.0	77.04	96.19	12973317.0	12959526.0	12760015.0	163632.0	10896.0	38774.0	0.41	0.02	2.05	0.01	1.61	9966492.0	18.59	28126.0	0.05	0.0	3.43	0.89	0	1839695	477355
MUSCULO_109	26650172.0	97.0	21268833.0	79.81	96.78	7426963.0	7419186.0	7353881.0	45831.0	5064.0	22187.0	0.35	0.01	2.02	0.01	1.59	4215997.0	15.82	18763.0	0.07	0.0	3.68	0.63	0	978982	167597
MUSCULO_110	26958565.0	96.0	19896738.0	73.8	96.54	7114743.0	7104928.0	7034675.0	53421.0	4267.0	22380.0	0.35	0.01	1.94	0.01	1.55	5697568.0	21.13	42583.0	0.16	0.0	4.25	0.66	0	1144017	177659
MUSCULO_111	25665794.0	95.0	18745599.0	73.04	95.98	6619807.0	6612380.0	6555226.0	40708.0	4462.0	19411.0	0.36	0.01	2.16	0.01	1.56	5219568.0	20.34	27527.0	0.11	0.0	5.9	0.62	0	1514002	159098
MUSCULO_112	33629243.0	96.0	26419073.0	78.56	95.9	9708615.0	9699036.0	9611656.0	64232.0	5985.0	26742.0	0.35	0.01	2.09	0.01	1.64	5502550.0	16.36	71302.0	0.21	0.0	4.14	0.73	0	1391038	245280
MUSCULO_113	34711404.0	96.0	29183011.0	84.07	96.42	9145078.0	9135103.0	9058602.0	58851.0	4807.0	22818.0	0.39	0.01	2.05	0.01	1.76	3999189.0	11.52	18568.0	0.05	0.0	4.31	0.04	0	1496745	13891
MUSCULO_114	33653206.0	93.0	25898034.0	76.96	94.49	7741023.0	7732410.0	7652966.0	63754.0	4636.0	19667.0	0.45	0.02	2.28	0.01	1.69	6094850.0	18.11	25974.0	0.08	0.0	4.79	0.07	0	1610808	23540
MUSCULO_115	42790613.0	96.0	35273109.0	82.43	95.6	10917483.0	10905270.0	10793757.0	89367.0	7845.0	26514.0	0.4	0.02	2.2	0.01	1.72	6309081.0	14.74	25658.0	0.06	0.0	2.72	0.04	0	1165623	17142
MUSCULO_116	66357042.0	96.0	47820805.0	72.07	96.01	14785273.0	14769676.0	14589559.0	139058.0	10715.0	45941.0	0.43	0.02	2.07	0.01	1.65	15206632.0	22.92	160118.0	0.24	0.0	4.0	0.77	0	2657851	511636
MUSCULO_117	23832523.0	96.0	19042388.0	79.9	95.81	6435122.0	6428159.0	6355736.0	57113.0	4177.0	18096.0	0.4	0.01	2.16	0.01	1.68	3966123.0	16.64	20375.0	0.09	0.0	3.33	0.05	0	791749	11888
MUSCULO_118	34754701.0	97.0	27150353.0	78.12	96.72	9733540.0	9722389.0	9608592.0	89732.0	6170.0	29046.0	0.35	0.01	1.94	0.01	1.58	6339218.0	18.24	30863.0	0.09	0.0	2.76	0.79	0	959599	274668
MUSCULO_119	31296375.0	95.0	21899660.0	69.98	96.05	7139802.0	7131692.0	7040171.0	64619.0	12829.0	22183.0	0.42	0.02	2.19	0.01	1.65	8037461.0	25.68	20614.0	0.07	0.0	4.04	0.24	0	1263576	75064
MUSCULO_120	30587082.0	97.0	24889883.0	81.37	96.39	9172453.0	9163256.0	9065556.0	77639.0	5503.0	23755.0	0.33	0.01	2.0	0.01	1.7	4647103.0	15.19	116341.0	0.38	0.0	2.9	0.16	0	884931	48824
MUSCULO_61	46814897.0	97.0	33855782.0	72.32	96.88	11349665.0	11334899.0	11185784.0	119421.0	7294.0	37166.0	0.38	0.02	2.07	0.01	1.55	10082300.0	21.54	98916.0	0.21	0.0	4.6	1.33	0	2154863	623036
MUSCULO_62	57844736.0	97.0	48594003.0	84.01	96.96	17455866.0	17441460.0	17272538.0	129265.0	11435.0	42628.0	0.34	0.01	1.94	0.01	1.63	7968036.0	13.77	23707.0	0.04	0.0	2.14	0.04	0	1235889	23101
MUSCULO_63	49666193.0	98.0	38026210.0	76.56	97.19	13249919.0	13234271.0	13022141.0	175786.0	12853.0	39139.0	0.39	0.01	1.95	0.01	1.56	9959638.0	20.05	34979.0	0.07	0.0	2.67	0.64	0	1327229	318137
MUSCULO_64	29516939.0	98.0	22251213.0	75.38	97.38	7413934.0	7405379.0	7318374.0	68808.0	4562.0	22190.0	0.38	0.01	1.87	0.01	1.6	6088064.0	20.63	16152.0	0.05	0.0	3.23	0.71	0	952202	209308
MUSCULO_65	23530461.0	98.0	18536000.0	78.77	97.33	5742343.0	5735018.0	5690843.0	32753.0	3138.0	15609.0	0.38	0.01	1.86	0.01	1.67	4311154.0	18.32	50400.0	0.21	0.0	2.52	0.17	0	592909	39998
MUSCULO_66	23468142.0	97.0	19355890.0	82.48	96.83	6198413.0	6192146.0	6135147.0	40630.0	4495.0	18141.0	0.39	0.01	2.08	0.01	1.6	3202149.0	13.64	13005.0	0.06	0.0	3.75	0.08	0	878360	18738
MUSCULO_67	26438218.0	97.0	20372216.0	77.06	97.06	6246575.0	6239003.0	6187706.0	36326.0	3649.0	18894.0	0.4	0.01	1.97	0.01	1.65	4747240.0	17.96	30990.0	0.12	0.0	4.06	0.81	0	1073584	214188
MUSCULO_68	23443338.0	97.0	18676118.0	79.66	97.11	6278131.0	6271439.0	6208518.0	45969.0	3824.0	19820.0	0.36	0.01	1.96	0.01	1.68	3780857.0	16.13	44083.0	0.19	0.0	3.57	0.45	0	836801	105479
MUSCULO_69	24130998.0	98.0	19245085.0	79.75	97.26	5613666.0	5606121.0	5553395.0	37305.0	3502.0	19464.0	0.38	0.01	2.04	0.01	1.67	4097935.0	16.98	65231.0	0.27	0.0	2.7	0.29	0	652648	70099
MUSCULO_70	26833639.0	96.0	20312371.0	75.7	96.45	6320586.0	6312981.0	6238998.0	56775.0	5130.0	19683.0	0.41	0.01	2.12	0.01	1.71	4950681.0	18.45	57031.0	0.21	0.0	5.11	0.54	0	1368898	144658
MUSCULO_71	26126338.0	97.0	21214636.0	81.2	97.35	7005036.0	6998439.0	6927917.0	52933.0	4297.0	19889.0	0.35	0.01	1.93	0.01	1.64	4029928.0	15.42	37850.0	0.14	0.0	3.11	0.12	0	812571	31353
MUSCULO_72	18129888.0	98.0	14025678.0	77.36	97.4	4235375.0	4230570.0	4192403.0	26253.0	3076.0	13643.0	0.38	0.01	2.04	0.01	1.67	3496147.0	19.28	33330.0	0.18	0.0	2.66	0.51	0	482268	92465
MUSCULO_73	37490766.0	97.0	28152181.0	75.09	96.98	10411407.0	10400938.0	10261961.0	112671.0	7850.0	28925.0	0.33	0.01	1.94	0.01	1.64	7657395.0	20.42	71638.0	0.19	0.0	3.52	0.77	0	1320658	288894
MUSCULO_74	37374561.0	97.0	30567920.0	81.79	96.6	9472640.0	9453077.0	9358096.0	67084.0	8310.0	39150.0	0.38	0.01	1.86	0.01	1.62	5529269.0	14.79	54075.0	0.14	0.0	2.97	0.31	0	1107681	115616
MUSCULO_75	31001726.0	97.0	25487453.0	82.21	97.02	8474245.0	8461907.0	8384244.0	55562.0	6703.0	27736.0	0.38	0.01	1.85	0.01	1.64	4432422.0	14.3	25615.0	0.08	0.0	2.96	0.44	0	919547	136689
MUSCULO_76	29503119.0	96.0	24674430.0	83.63	96.56	7820670.0	7812422.0	7709298.0	81937.0	4941.0	24494.0	0.37	0.01	1.91	0.01	1.65	3790305.0	12.85	19776.0	0.07	0.0	3.4	0.05	0	1003846	14762
MUSCULO_77	57990788.0	97.0	47870092.0	82.55	96.78	16633669.0	16616620.0	16457599.0	120099.0	10366.0	45605.0	0.37	0.01	1.96	0.01	1.62	8399330.0	14.48	51488.0	0.09	0.0	2.6	0.28	0	1507529	162349
MUSCULO_78	51070376.0	97.0	36887350.0	72.23	96.85	13452206.0	13432397.0	13269934.0	117757.0	18553.0	45962.0	0.36	0.01	1.93	0.01	1.48	10814915.0	21.18	381864.0	0.75	0.0	4.15	1.69	0	2122076	864171
MUSCULO_79	37997139.0	97.0	29952841.0	78.83	97.16	10899325.0	10888536.0	10750185.0	112709.0	7470.0	28961.0	0.33	0.01	1.97	0.01	1.6	6293702.0	16.56	80752.0	0.21	0.0	3.26	1.14	0	1237203	432641
MUSCULO_80	28670602.0	97.0	21945922.0	76.55	97.03	6963480.0	6952807.0	6866208.0	65004.0	9075.0	23193.0	0.37	0.01	1.89	0.01	1.66	5532897.0	19.3	40219.0	0.14	0.0	3.03	0.98	0	870134	281430
MUSCULO_81	27214567.0	97.0	20715221.0	76.12	96.71	7164338.0	7156264.0	7079807.0	58576.0	3901.0	22054.0	0.37	0.01	1.9	0.01	1.64	5270846.0	19.37	18480.0	0.07	0.0	3.68	0.77	0	1000646	209374
MUSCULO_82	39728240.0	97.0	33738156.0	84.92	97.15	11513675.0	11503704.0	11388156.0	89130.0	7607.0	28782.0	0.33	0.01	1.8	0.01	1.63	4660618.0	11.73	26776.0	0.07	0.0	3.23	0.05	0	1282832	19858
MUSCULO_83	50213489.0	97.0	36168524.0	72.03	96.84	12687218.0	12664692.0	12454295.0	180214.0	7227.0	45482.0	0.36	0.01	1.99	0.01	1.53	11113912.0	22.13	141021.0	0.28	0.0	4.18	1.37	0	2101321	688711
MUSCULO_84	36748082.0	97.0	30662329.0	83.44	97.13	10308067.0	10297697.0	10170987.0	93022.0	13378.0	30680.0	0.39	0.01	2.01	0.01	1.56	5118498.0	13.93	9416.0	0.03	0.0	2.55	0.06	0	935820	22019
MUSCULO_85	37314074.0	97.0	29971349.0	80.32	96.79	9739992.0	9727838.0	9638048.0	63580.0	7075.0	31289.0	0.35	0.01	1.89	0.01	1.66	6086555.0	16.31	72730.0	0.19	0.0	2.97	0.2	0	1108775	74665
MUSCULO_86	33831233.0	97.0	23411329.0	69.2	96.72	8043741.0	8031437.0	7952023.0	59505.0	4567.0	27646.0	0.39	0.01	2.03	0.01	1.43	7884610.0	23.31	145750.0	0.43	0.0	4.8	2.26	0	1624619	764925
MUSCULO_87	35521579.0	97.0	27100692.0	76.29	97.18	8404052.0	8392067.0	8311105.0	59669.0	5651.0	27627.0	0.37	0.01	1.92	0.01	1.6	6874948.0	19.35	82152.0	0.23	0.0	3.31	0.81	0	1176004	287783
MUSCULO_88	45814473.0	95.0	33565311.0	73.26	95.36	11295182.0	11281303.0	11181500.0	73097.0	5792.0	34793.0	0.41	0.02	2.17	0.01	1.62	8904239.0	19.44	106620.0	0.23	0.0	5.11	1.96	0	2340556	897747
MUSCULO_89	26627098.0	96.0	22188043.0	83.33	95.9	6840349.0	6833886.0	6764051.0	54625.0	4779.0	16894.0	0.45	0.01	2.17	0.01	1.61	3663009.0	13.76	16635.0	0.06	0.0	2.82	0.03	0	751417	7994
MUSCULO_90	85319737.0	97.0	68911426.0	80.77	97.04	24196674.0	24168547.0	23921194.0	184777.0	22166.0	68537.0	0.37	0.01	2.03	0.01	1.59	13339437.0	15.63	73393.0	0.09	0.0	2.88	0.63	0	2457831	537650
MUSCULO_91	38959418.0	97.0	31089586.0	79.8	96.89	10944308.0	10932255.0	10799500.0	103115.0	8188.0	33505.0	0.36	0.01	2.07	0.01	1.63	6381998.0	16.38	90478.0	0.23	0.0	3.11	0.48	0	1210523	186833
MUSCULO_92	43801533.0	96.0	37678546.0	86.02	96.29	12768410.0	12757883.0	12645589.0	81649.0	9449.0	31723.0	0.38	0.01	2.01	0.01	1.65	4919583.0	11.23	14604.0	0.03	0.0	2.65	0.06	0	1162480	26320
MUSCULO_93	39942323.0	97.0	32286735.0	80.83	96.85	10647617.0	10633724.0	10510901.0	100962.0	6753.0	29001.0	0.38	0.01	1.9	0.01	1.69	6378901.0	15.97	32645.0	0.08	0.0	2.8	0.32	0	1116448	127594
MUSCULO_94	31069378.0	97.0	23355038.0	75.17	96.71	7619839.0	7610605.0	7523059.0	68694.0	5120.0	22966.0	0.37	0.01	2.14	0.01	1.72	6075440.0	19.55	70575.0	0.23	0.0	4.14	0.91	0	1285716	282609
MUSCULO_95	44533827.0	98.0	34802543.0	78.15	97.28	11215537.0	11201439.0	11074608.0	98251.0	7753.0	34925.0	0.42	0.01	2.1	0.01	1.6	8044822.0	18.06	76220.0	0.17	0.0	3.08	0.53	0	1373835	236407
MUSCULO_96	36738252.0	97.0	29931627.0	81.47	97.16	9125034.0	9111540.0	9005999.0	85989.0	5225.0	27821.0	0.36	0.01	2.03	0.01	1.76	5530453.0	15.05	42649.0	0.12	0.0	3.06	0.3	0	1123387	110136
MUSCULO_97	30478260.0	95.0	14772912.0	48.47	95.48	5008987.0	4997009.0	4947529.0	30406.0	2684.0	28368.0	0.39	0.02	2.51	0.02	1.39	11013606.0	36.14	507875.0	1.67	0.0	9.81	3.92	0	2989347	1194520
MUSCULO_98	47225717.0	96.0	40108319.0	84.93	96.6	12815408.0	12803172.0	12683369.0	90506.0	9953.0	31580.0	0.34	0.01	1.94	0.01	1.67	5304153.0	11.23	44210.0	0.09	0.0	3.68	0.07	0	1736013	33022
MUSCULO_99	44457191.0	96.0	33924693.0	76.31	95.98	11623876.0	11612446.0	11428579.0	153507.0	8521.0	33269.0	0.37	0.01	2.03	0.01	1.63	8215977.0	18.48	75989.0	0.17	0.0	4.18	0.86	0	1858219	382313
