Sample	10	11	12	13	14	15	16	17	18	19	1	20	2	3	4	5	6	7	8	9	MT	X	Y	*
GRASO_132	[4451560, 112626471]	[1354638, 90463843]	[6975561, 52716770]	[882998, 114033958]	[2811606, 115493446]	[901530, 111246239]	[886386, 90668790]	[1262805, 90843779]	[990109, 88201929]	[2115059, 62275575]	[6311025, 282763074]	[1961232, 56205956]	[3588894, 266435125]	[2354422, 177699992]	[2350301, 184226339]	[2252571, 173707219]	[8750026, 147991367]	[6870201, 145729302]	[4228508, 133307652]	[1845596, 122095297]	[919263, 16313]	[3111769, 159970021]	[10619, 3310458]	[0, 0]
GRASO_133	[5549862, 112626471]	[1535177, 90463843]	[9991765, 52716770]	[977605, 114033958]	[3884774, 115493446]	[993655, 111246239]	[1085430, 90668790]	[1453381, 90843779]	[1167754, 88201929]	[2522573, 62275575]	[7805272, 282763074]	[1920540, 56205956]	[4022443, 266435125]	[2642567, 177699992]	[2713703, 184226339]	[2737620, 173707219]	[10863336, 147991367]	[8183376, 145729302]	[5233901, 133307652]	[2020883, 122095297]	[1359821, 16313]	[3686795, 159970021]	[4069, 3310458]	[0, 0]
GRASO_134	[2897892, 112626471]	[932530, 90463843]	[3724266, 52716770]	[779501, 114033958]	[1822909, 115493446]	[730261, 111246239]	[833413, 90668790]	[953565, 90843779]	[781435, 88201929]	[1053688, 62275575]	[5153974, 282763074]	[1211296, 56205956]	[2414292, 266435125]	[1853676, 177699992]	[1871151, 184226339]	[1857723, 173707219]	[4512376, 147991367]	[3651907, 145729302]	[3046926, 133307652]	[1321232, 122095297]	[1945251, 16313]	[1814103, 159970021]	[3557, 3310458]	[0, 0]
GRASO_135	[2483020, 112626471]	[1064796, 90463843]	[5644661, 52716770]	[889595, 114033958]	[2160174, 115493446]	[814497, 111246239]	[825974, 90668790]	[1092877, 90843779]	[855558, 88201929]	[1268248, 62275575]	[4374576, 282763074]	[1079637, 56205956]	[3175022, 266435125]	[2086440, 177699992]	[2102327, 184226339]	[1973904, 173707219]	[5802014, 147991367]	[5390552, 145729302]	[3882653, 133307652]	[1399763, 122095297]	[1776584, 16313]	[2748133, 159970021]	[15541, 3310458]	[0, 0]
GRASO_136	[6254740, 112626471]	[1549988, 90463843]	[10330513, 52716770]	[905337, 114033958]	[6792292, 115493446]	[1034106, 111246239]	[880874, 90668790]	[1642186, 90843779]	[1225787, 88201929]	[2645577, 62275575]	[8079219, 282763074]	[1400364, 56205956]	[4693533, 266435125]	[3020017, 177699992]	[2994509, 184226339]	[3395651, 173707219]	[14286788, 147991367]	[8129863, 145729302]	[4894930, 133307652]	[2849050, 122095297]	[679985, 16313]	[3984634, 159970021]	[14439, 3310458]	[0, 0]
GRASO_137	[2095475, 112626471]	[846751, 90463843]	[5479484, 52716770]	[737093, 114033958]	[3157420, 115493446]	[666579, 111246239]	[652193, 90668790]	[832147, 90843779]	[710870, 88201929]	[1152204, 62275575]	[3881291, 282763074]	[852035, 56205956]	[2368035, 266435125]	[1585360, 177699992]	[1643711, 184226339]	[1693650, 173707219]	[5452255, 147991367]	[4889441, 145729302]	[3529150, 133307652]	[1243016, 122095297]	[1690420, 16313]	[2538919, 159970021]	[5355, 3310458]	[0, 0]
GRASO_138	[4027968, 112626471]	[1473331, 90463843]	[6149303, 52716770]	[1190423, 114033958]	[6733078, 115493446]	[1280940, 111246239]	[1135630, 90668790]	[1574476, 90843779]	[1240588, 88201929]	[1569010, 62275575]	[7334990, 282763074]	[2083499, 56205956]	[3824307, 266435125]	[2849622, 177699992]	[2957705, 184226339]	[3139976, 173707219]	[9483817, 147991367]	[5466807, 145729302]	[4157169, 133307652]	[2149037, 122095297]	[2448892, 16313]	[2521165, 159970021]	[7343, 3310458]	[0, 0]
GRASO_139	[2567492, 112626471]	[1034720, 90463843]	[4302978, 52716770]	[862946, 114033958]	[2542799, 115493446]	[889919, 111246239]	[776557, 90668790]	[1128976, 90843779]	[900462, 88201929]	[1033104, 62275575]	[4540937, 282763074]	[1419938, 56205956]	[2802136, 266435125]	[1991492, 177699992]	[2025011, 184226339]	[2061220, 173707219]	[5864733, 147991367]	[4843220, 145729302]	[3060480, 133307652]	[1454091, 122095297]	[1544929, 16313]	[1912986, 159970021]	[14709, 3310458]	[0, 0]
GRASO_140	[4883529, 112626471]	[1780726, 90463843]	[12155706, 52716770]	[1323230, 114033958]	[5635177, 115493446]	[1381019, 111246239]	[1287836, 90668790]	[2136259, 90843779]	[1605530, 88201929]	[2081167, 62275575]	[8713081, 282763074]	[2093647, 56205956]	[5023822, 266435125]	[3226011, 177699992]	[3386006, 184226339]	[3441057, 173707219]	[13425041, 147991367]	[9869610, 145729302]	[5874296, 133307652]	[2358693, 122095297]	[3417320, 16313]	[4050644, 159970021]	[7900, 3310458]	[0, 0]
GRASO_141	[3884211, 112626471]	[1413375, 90463843]	[10701226, 52716770]	[1052469, 114033958]	[7825176, 115493446]	[1210095, 111246239]	[1036137, 90668790]	[1670880, 90843779]	[1239651, 88201929]	[1995738, 62275575]	[6551364, 282763074]	[1775375, 56205956]	[4000363, 266435125]	[2638292, 177699992]	[2767911, 184226339]	[2831535, 173707219]	[12345454, 147991367]	[7617529, 145729302]	[4736151, 133307652]	[2044959, 122095297]	[1785620, 16313]	[3598727, 159970021]	[7485, 3310458]	[0, 0]
GRASO_142	[3768347, 112626471]	[1628730, 90463843]	[7270271, 52716770]	[1297388, 114033958]	[6382440, 115493446]	[1281865, 111246239]	[1180804, 90668790]	[1775428, 90843779]	[1404991, 88201929]	[1766388, 62275575]	[9034882, 282763074]	[2173063, 56205956]	[4243454, 266435125]	[2991591, 177699992]	[3006332, 184226339]	[3579635, 173707219]	[10983160, 147991367]	[6605533, 145729302]	[4996380, 133307652]	[2070706, 122095297]	[1722815, 16313]	[3219240, 159970021]	[7768, 3310458]	[0, 0]
