Sample	10	11	12	13	14	15	16	17	18	19	1	20	2	3	4	5	6	7	8	9	MT	X	Y	*
GRASO_173	[1751871, 112626471]	[728025, 90463843]	[3976482, 52716770]	[621176, 114033958]	[2113621, 115493446]	[566997, 111246239]	[585443, 90668790]	[617531, 90843779]	[496154, 88201929]	[996942, 62275575]	[3137328, 282763074]	[726460, 56205956]	[1952179, 266435125]	[1417439, 177699992]	[1336692, 184226339]	[1425581, 173707219]	[3952968, 147991367]	[3831252, 145729302]	[2544434, 133307652]	[1001103, 122095297]	[1418704, 16313]	[1704809, 159970021]	[9947, 3310458]	[0, 0]
GRASO_174	[1854527, 112626471]	[833746, 90463843]	[1950426, 52716770]	[707482, 114033958]	[2483269, 115493446]	[595247, 111246239]	[774460, 90668790]	[691412, 90843779]	[589825, 88201929]	[774482, 62275575]	[4137356, 282763074]	[887838, 56205956]	[2030403, 266435125]	[1679786, 177699992]	[1602410, 184226339]	[1781132, 173707219]	[2510690, 147991367]	[2407906, 145729302]	[1812191, 133307652]	[1101070, 122095297]	[397585, 16313]	[1136503, 159970021]	[3363, 3310458]	[0, 0]
GRASO_175	[2180258, 112626471]	[982461, 90463843]	[7154258, 52716770]	[780754, 114033958]	[2335160, 115493446]	[705162, 111246239]	[828806, 90668790]	[911191, 90843779]	[726149, 88201929]	[1362777, 62275575]	[4094178, 282763074]	[971148, 56205956]	[2988102, 266435125]	[1840048, 177699992]	[1912470, 184226339]	[1867793, 173707219]	[6813546, 147991367]	[7341634, 145729302]	[4192275, 133307652]	[1217843, 122095297]	[1838608, 16313]	[3125567, 159970021]	[13498, 3310458]	[0, 0]
GRASO_176	[3013976, 112626471]	[1218052, 90463843]	[5567743, 52716770]	[688848, 114033958]	[3101443, 115493446]	[695284, 111246239]	[773532, 90668790]	[900725, 90843779]	[724408, 88201929]	[1520145, 62275575]	[4675745, 282763074]	[1130819, 56205956]	[3698637, 266435125]	[2083168, 177699992]	[1877732, 184226339]	[2052448, 173707219]	[8306634, 147991367]	[5261028, 145729302]	[3190731, 133307652]	[1433418, 122095297]	[617736, 16313]	[2399781, 159970021]	[10494, 3310458]	[0, 0]
GRASO_177	[1744522, 112626471]	[801656, 90463843]	[3789774, 52716770]	[647909, 114033958]	[1825404, 115493446]	[603669, 111246239]	[645237, 90668790]	[747998, 90843779]	[608775, 88201929]	[1066321, 62275575]	[3482265, 282763074]	[900136, 56205956]	[2133363, 266435125]	[1505684, 177699992]	[1528077, 184226339]	[1431068, 173707219]	[4494057, 147991367]	[3603590, 145729302]	[2402880, 133307652]	[992059, 122095297]	[483342, 16313]	[2029840, 159970021]	[10798, 3310458]	[0, 0]
GRASO_178	[3192889, 112626471]	[1329180, 90463843]	[4387523, 52716770]	[1130664, 114033958]	[2991662, 115493446]	[1076671, 111246239]	[1117948, 90668790]	[1225581, 90843779]	[1048385, 88201929]	[1517883, 62275575]	[5868011, 282763074]	[1566182, 56205956]	[3427433, 266435125]	[2554641, 177699992]	[2502861, 184226339]	[2569136, 173707219]	[5553479, 147991367]	[4611069, 145729302]	[3425308, 133307652]	[1841487, 122095297]	[1182001, 16313]	[2363880, 159970021]	[7366, 3310458]	[0, 0]
GRASO_179	[5306899, 112626471]	[1661039, 90463843]	[7332128, 52716770]	[1700362, 114033958]	[4954370, 115493446]	[1523423, 111246239]	[1347495, 90668790]	[1831980, 90843779]	[1417132, 88201929]	[2100538, 62275575]	[8944778, 282763074]	[1541345, 56205956]	[4525118, 266435125]	[3513561, 177699992]	[3223473, 184226339]	[3724234, 173707219]	[7553217, 147991367]	[6910823, 145729302]	[4887689, 133307652]	[2478771, 122095297]	[1530090, 16313]	[3303297, 159970021]	[47340, 3310458]	[0, 0]
GRASO_180	[3458274, 112626471]	[1374241, 90463843]	[9114063, 52716770]	[1104533, 114033958]	[2843498, 115493446]	[1080977, 111246239]	[1040239, 90668790]	[1281047, 90843779]	[1024117, 88201929]	[1971619, 62275575]	[6580419, 282763074]	[1471014, 56205956]	[3561743, 266435125]	[2464424, 177699992]	[2422799, 184226339]	[2452372, 173707219]	[7790401, 147991367]	[7402155, 145729302]	[4726473, 133307652]	[1817665, 122095297]	[1550101, 16313]	[3446472, 159970021]	[6769, 3310458]	[0, 0]
HIGADO_01	[1343812, 112626471]	[875958, 90463843]	[2511216, 52716770]	[757756, 114033958]	[13806172, 115493446]	[473035, 111246239]	[640753, 90668790]	[562658, 90843779]	[513205, 88201929]	[885087, 62275575]	[5742603, 282763074]	[628999, 56205956]	[1696096, 266435125]	[1110376, 177699992]	[2364718, 184226339]	[2644149, 173707219]	[4429403, 147991367]	[2455529, 145729302]	[2441114, 133307652]	[1114565, 122095297]	[1557490, 16313]	[1126090, 159970021]	[1613, 3310458]	[0, 0]
HIGADO_02	[1995488, 112626471]	[1170467, 90463843]	[5175616, 52716770]	[1267754, 114033958]	[16827869, 115493446]	[705274, 111246239]	[865575, 90668790]	[772266, 90843779]	[829227, 88201929]	[1500730, 62275575]	[7756959, 282763074]	[828331, 56205956]	[2791092, 266435125]	[1629501, 177699992]	[3991998, 184226339]	[6765583, 173707219]	[7285114, 147991367]	[4642341, 145729302]	[4102097, 133307652]	[1495075, 122095297]	[1733308, 16313]	[2045239, 159970021]	[8713, 3310458]	[0, 0]
HIGADO_03	[1546456, 112626471]	[1068890, 90463843]	[2797063, 52716770]	[1065033, 114033958]	[20818729, 115493446]	[580669, 111246239]	[836736, 90668790]	[629239, 90843779]	[575560, 88201929]	[1067756, 62275575]	[7995559, 282763074]	[765753, 56205956]	[2311923, 266435125]	[1348040, 177699992]	[2769587, 184226339]	[4007613, 173707219]	[6240770, 147991367]	[2783717, 145729302]	[2903351, 133307652]	[1356164, 122095297]	[1511098, 16313]	[1246992, 159970021]	[2071, 3310458]	[0, 0]
HIGADO_04	[1712696, 112626471]	[942501, 90463843]	[3769594, 52716770]	[892365, 114033958]	[22500668, 115493446]	[612439, 111246239]	[693668, 90668790]	[616980, 90843779]	[608085, 88201929]	[1184913, 62275575]	[6961148, 282763074]	[636899, 56205956]	[2200057, 266435125]	[1306380, 177699992]	[2880842, 184226339]	[4255103, 173707219]	[6554093, 147991367]	[3352017, 145729302]	[2894868, 133307652]	[1297543, 122095297]	[1245755, 16313]	[1535137, 159970021]	[8265, 3310458]	[0, 0]
HIGADO_05	[1648687, 112626471]	[959051, 90463843]	[2472881, 52716770]	[1065700, 114033958]	[10540309, 115493446]	[543995, 111246239]	[774218, 90668790]	[613844, 90843779]	[650689, 88201929]	[977285, 62275575]	[5454010, 282763074]	[688791, 56205956]	[2236555, 266435125]	[1335346, 177699992]	[3662881, 184226339]	[4508232, 173707219]	[4066422, 147991367]	[2534163, 145729302]	[2835733, 133307652]	[1341518, 122095297]	[1040330, 16313]	[1137076, 159970021]	[6456, 3310458]	[0, 0]
HIGADO_06	[1757535, 112626471]	[982303, 90463843]	[2634222, 52716770]	[1085215, 114033958]	[20542413, 115493446]	[598004, 111246239]	[788368, 90668790]	[578338, 90843779]	[636327, 88201929]	[996546, 62275575]	[7810643, 282763074]	[684245, 56205956]	[2458716, 266435125]	[1399949, 177699992]	[3933953, 184226339]	[5650120, 173707219]	[6218137, 147991367]	[2628012, 145729302]	[3053956, 133307652]	[1377116, 122095297]	[1300713, 16313]	[1142178, 159970021]	[6963, 3310458]	[0, 0]
HIGADO_07	[2154262, 112626471]	[1428201, 90463843]	[4506660, 52716770]	[1466774, 114033958]	[34605439, 115493446]	[850833, 111246239]	[1055819, 90668790]	[953579, 90843779]	[1037208, 88201929]	[1392707, 62275575]	[9612687, 282763074]	[1004946, 56205956]	[3303159, 266435125]	[1899511, 177699992]	[4967045, 184226339]	[7324751, 173707219]	[8386383, 147991367]	[4115949, 145729302]	[4377621, 133307652]	[1828577, 122095297]	[2505848, 16313]	[1882459, 159970021]	[10605, 3310458]	[0, 0]
HIGADO_08	[1462095, 112626471]	[951445, 90463843]	[3457124, 52716770]	[1149327, 114033958]	[29041655, 115493446]	[634111, 111246239]	[787539, 90668790]	[679458, 90843779]	[666404, 88201929]	[1252818, 62275575]	[10410289, 282763074]	[730630, 56205956]	[2314340, 266435125]	[1429946, 177699992]	[3594136, 184226339]	[8492808, 173707219]	[8074429, 147991367]	[3107222, 145729302]	[3196927, 133307652]	[1336337, 122095297]	[2005390, 16313]	[1439430, 159970021]	[7395, 3310458]	[0, 0]
HIGADO_09	[1391719, 112626471]	[868945, 90463843]	[4259045, 52716770]	[876223, 114033958]	[15822339, 115493446]	[498798, 111246239]	[642848, 90668790]	[511896, 90843779]	[539214, 88201929]	[1290958, 62275575]	[7261135, 282763074]	[562046, 56205956]	[2081515, 266435125]	[1178855, 177699992]	[2762913, 184226339]	[5242038, 173707219]	[8365696, 147991367]	[3177804, 145729302]	[2805771, 133307652]	[1168661, 122095297]	[1057275, 16313]	[1437121, 159970021]	[8245, 3310458]	[0, 0]
HIGADO_10	[1834644, 112626471]	[1222105, 90463843]	[5583875, 52716770]	[1035265, 114033958]	[26071238, 115493446]	[601755, 111246239]	[801241, 90668790]	[613094, 90843779]	[570010, 88201929]	[1456438, 62275575]	[9261355, 282763074]	[821079, 56205956]	[2595316, 266435125]	[1407915, 177699992]	[2550391, 184226339]	[4776257, 173707219]	[8464334, 147991367]	[4714038, 145729302]	[3572547, 133307652]	[1383188, 122095297]	[1558417, 16313]	[1996548, 159970021]	[2458, 3310458]	[0, 0]
HIGADO_11	[2100217, 112626471]	[1298944, 90463843]	[6669999, 52716770]	[1159653, 114033958]	[23885480, 115493446]	[686839, 111246239]	[994071, 90668790]	[754610, 90843779]	[729956, 88201929]	[1817552, 62275575]	[11069917, 282763074]	[869248, 56205956]	[2851482, 266435125]	[1666762, 177699992]	[4338480, 184226339]	[6185570, 173707219]	[10689461, 147991367]	[5246577, 145729302]	[4279624, 133307652]	[1640783, 122095297]	[2400827, 16313]	[2444561, 159970021]	[10087, 3310458]	[0, 0]
HIGADO_12	[1858988, 112626471]	[1164922, 90463843]	[7128718, 52716770]	[1190286, 114033958]	[22271449, 115493446]	[684949, 111246239]	[844480, 90668790]	[681337, 90843779]	[702495, 88201929]	[1931479, 62275575]	[9824307, 282763074]	[761132, 56205956]	[2969003, 266435125]	[1500660, 177699992]	[4037623, 184226339]	[7229746, 173707219]	[11335570, 147991367]	[5683807, 145729302]	[4319141, 133307652]	[1467631, 122095297]	[1909962, 16313]	[2478240, 159970021]	[9102, 3310458]	[0, 0]
HIGADO_13	[2367002, 112626471]	[1690935, 90463843]	[5823319, 52716770]	[1704474, 114033958]	[38566841, 115493446]	[841345, 111246239]	[1313281, 90668790]	[954936, 90843779]	[840739, 88201929]	[1894979, 62275575]	[12143982, 282763074]	[1333730, 56205956]	[4051500, 266435125]	[2090515, 177699992]	[3883899, 184226339]	[5454641, 173707219]	[11026380, 147991367]	[6252737, 145729302]	[5006496, 133307652]	[2317844, 122095297]	[3365833, 16313]	[2471245, 159970021]	[2707, 3310458]	[0, 0]
HIGADO_14	[2800398, 112626471]	[1959640, 90463843]	[10619675, 52716770]	[1530531, 114033958]	[21419998, 115493446]	[924192, 111246239]	[1259933, 90668790]	[1003031, 90843779]	[949156, 88201929]	[3095983, 62275575]	[10081026, 282763074]	[1151301, 56205956]	[4487936, 266435125]	[2170292, 177699992]	[4410861, 184226339]	[4724252, 173707219]	[15573373, 147991367]	[7973964, 145729302]	[6058218, 133307652]	[2196001, 122095297]	[2482214, 16313]	[3737588, 159970021]	[2654, 3310458]	[0, 0]
HIGADO_15	[3178899, 112626471]	[1654315, 90463843]	[10374258, 52716770]	[1563337, 114033958]	[28753862, 115493446]	[922966, 111246239]	[1249413, 90668790]	[894009, 90843779]	[943376, 88201929]	[2657758, 62275575]	[9865350, 282763074]	[1192895, 56205956]	[4120339, 266435125]	[2060025, 177699992]	[4599598, 184226339]	[5415673, 173707219]	[12701947, 147991367]	[8143489, 145729302]	[6282581, 133307652]	[2267024, 122095297]	[2259432, 16313]	[3561411, 159970021]	[8858, 3310458]	[0, 0]
HIGADO_16	[1443184, 112626471]	[864921, 90463843]	[4244578, 52716770]	[895231, 114033958]	[29375356, 115493446]	[531345, 111246239]	[636227, 90668790]	[587846, 90843779]	[622008, 88201929]	[1095895, 62275575]	[6621952, 282763074]	[594733, 56205956]	[2156046, 266435125]	[1185691, 177699992]	[3070130, 184226339]	[4772545, 173707219]	[7475215, 147991367]	[3907679, 145729302]	[3201875, 133307652]	[1133250, 122095297]	[1481279, 16313]	[1622327, 159970021]	[6171, 3310458]	[0, 0]
HIGADO_17	[2242758, 112626471]	[1446850, 90463843]	[5609702, 52716770]	[1380684, 114033958]	[24475536, 115493446]	[821824, 111246239]	[1030548, 90668790]	[881471, 90843779]	[915185, 88201929]	[1721927, 62275575]	[8628744, 282763074]	[944652, 56205956]	[3352966, 266435125]	[1863105, 177699992]	[5432305, 184226339]	[6511949, 173707219]	[9672553, 147991367]	[4691968, 145729302]	[4257663, 133307652]	[2067956, 122095297]	[2561383, 16313]	[2038182, 159970021]	[11406, 3310458]	[0, 0]
HIGADO_18	[2553469, 112626471]	[1510393, 90463843]	[6969843, 52716770]	[1487492, 114033958]	[56250543, 115493446]	[1009189, 111246239]	[1154803, 90668790]	[1063394, 90843779]	[1058594, 88201929]	[1705763, 62275575]	[12926219, 282763074]	[1222297, 56205956]	[3657151, 266435125]	[2055048, 177699992]	[5075329, 184226339]	[9487259, 173707219]	[12563517, 147991367]	[5840741, 145729302]	[5116862, 133307652]	[2033467, 122095297]	[4578630, 16313]	[2528769, 159970021]	[12116, 3310458]	[0, 0]
HIGADO_19	[2101740, 112626471]	[1384973, 90463843]	[4233672, 52716770]	[1242333, 114033958]	[25257297, 115493446]	[765090, 111246239]	[1021174, 90668790]	[889288, 90843779]	[839798, 88201929]	[1432066, 62275575]	[9573338, 282763074]	[996626, 56205956]	[2778943, 266435125]	[1796897, 177699992]	[3845957, 184226339]	[4979115, 173707219]	[8082107, 147991367]	[4158674, 145729302]	[3970511, 133307652]	[1852346, 122095297]	[2273088, 16313]	[1984272, 159970021]	[2648, 3310458]	[0, 0]
HIGADO_20	[1354485, 112626471]	[961468, 90463843]	[4396443, 52716770]	[852594, 114033958]	[14626176, 115493446]	[561318, 111246239]	[731722, 90668790]	[608573, 90843779]	[522266, 88201929]	[1352742, 62275575]	[6871735, 282763074]	[669499, 56205956]	[2311053, 266435125]	[1196571, 177699992]	[2012979, 184226339]	[3123616, 173707219]	[7133417, 147991367]	[3959685, 145729302]	[3147568, 133307652]	[1111317, 122095297]	[1491230, 16313]	[1665391, 159970021]	[1905, 3310458]	[0, 0]
HIGADO_21	[3329350, 112626471]	[2301981, 90463843]	[10312950, 52716770]	[2094485, 114033958]	[34241488, 115493446]	[1317732, 111246239]	[1533180, 90668790]	[1563772, 90843779]	[1608814, 88201929]	[3282291, 62275575]	[13246276, 282763074]	[1415239, 56205956]	[5430115, 266435125]	[2885788, 177699992]	[7010416, 184226339]	[10893793, 173707219]	[15799702, 147991367]	[9867969, 145729302]	[7839638, 133307652]	[2740935, 122095297]	[2799353, 16313]	[4369085, 159970021]	[16478, 3310458]	[0, 0]
HIGADO_22	[963412, 112626471]	[585460, 90463843]	[2074421, 52716770]	[521374, 114033958]	[13505277, 115493446]	[365471, 111246239]	[461837, 90668790]	[358525, 90843779]	[348678, 88201929]	[692773, 62275575]	[4588485, 282763074]	[449540, 56205956]	[1328827, 266435125]	[756330, 177699992]	[1790044, 184226339]	[2060878, 173707219]	[3912103, 147991367]	[1863093, 145729302]	[1774963, 133307652]	[726429, 122095297]	[854948, 16313]	[826236, 159970021]	[895, 3310458]	[0, 0]
HIGADO_23	[1987944, 112626471]	[1406141, 90463843]	[5565887, 52716770]	[1253639, 114033958]	[25862554, 115493446]	[761486, 111246239]	[1025766, 90668790]	[849265, 90843779]	[795915, 88201929]	[1730462, 62275575]	[9245383, 282763074]	[1062363, 56205956]	[3005945, 266435125]	[1767140, 177699992]	[2964987, 184226339]	[4553481, 173707219]	[8975404, 147991367]	[4596199, 145729302]	[4192407, 133307652]	[1772396, 122095297]	[2572939, 16313]	[2345868, 159970021]	[2942, 3310458]	[0, 0]
HIGADO_24	[2206509, 112626471]	[1504831, 90463843]	[10301736, 52716770]	[1346234, 114033958]	[23217521, 115493446]	[855547, 111246239]	[1144719, 90668790]	[989449, 90843779]	[894336, 88201929]	[2669581, 62275575]	[9299811, 282763074]	[1008125, 56205956]	[3555692, 266435125]	[1889311, 177699992]	[3680722, 184226339]	[4317343, 173707219]	[11609897, 147991367]	[8730959, 145729302]	[5946972, 133307652]	[1761237, 122095297]	[2252935, 16313]	[3812822, 159970021]	[3124, 3310458]	[0, 0]
HIGADO_25	[906689, 112626471]	[586840, 90463843]	[1428620, 52716770]	[660323, 114033958]	[6514926, 115493446]	[342663, 111246239]	[464067, 90668790]	[357551, 90843779]	[383823, 88201929]	[563892, 62275575]	[3377737, 282763074]	[426683, 56205956]	[1350907, 266435125]	[823740, 177699992]	[1865267, 184226339]	[3045569, 173707219]	[2577492, 147991367]	[1587727, 145729302]	[1849143, 133307652]	[791618, 122095297]	[963642, 16313]	[695017, 159970021]	[3946, 3310458]	[0, 0]
HIGADO_26	[1428639, 112626471]	[861903, 90463843]	[2588577, 52716770]	[834249, 114033958]	[8161246, 115493446]	[518695, 111246239]	[714596, 90668790]	[588872, 90843779]	[555845, 88201929]	[966932, 62275575]	[5332405, 282763074]	[641263, 56205956]	[1860033, 266435125]	[1168150, 177699992]	[2886216, 184226339]	[2753214, 173707219]	[4207372, 147991367]	[2688650, 145729302]	[2659715, 133307652]	[1234971, 122095297]	[1205938, 16313]	[1214294, 159970021]	[6198, 3310458]	[0, 0]
HIGADO_27	[2002620, 112626471]	[1221874, 90463843]	[3485564, 52716770]	[1338973, 114033958]	[10199486, 115493446]	[760816, 111246239]	[1026235, 90668790]	[802575, 90843779]	[810749, 88201929]	[1266885, 62275575]	[5823199, 282763074]	[936894, 56205956]	[2893729, 266435125]	[1756510, 177699992]	[5070680, 184226339]	[4822285, 173707219]	[5138637, 147991367]	[3641832, 145729302]	[3706475, 133307652]	[2016916, 122095297]	[1792832, 16313]	[1589944, 159970021]	[8447, 3310458]	[0, 0]
HIGADO_28	[1237792, 112626471]	[833557, 90463843]	[2410582, 52716770]	[826928, 114033958]	[7482262, 115493446]	[445231, 111246239]	[673750, 90668790]	[470970, 90843779]	[443149, 88201929]	[843077, 62275575]	[4589498, 282763074]	[634274, 56205956]	[1715102, 266435125]	[1090115, 177699992]	[2048393, 184226339]	[1958842, 173707219]	[3276938, 147991367]	[2386054, 145729302]	[2390459, 133307652]	[1074569, 122095297]	[1369665, 16313]	[1038095, 159970021]	[1241, 3310458]	[0, 0]
HIGADO_29	[1380485, 112626471]	[810508, 90463843]	[3572075, 52716770]	[851090, 114033958]	[11951153, 115493446]	[525393, 111246239]	[606705, 90668790]	[514156, 90843779]	[529580, 88201929]	[1033369, 62275575]	[5040393, 282763074]	[556317, 56205956]	[1850500, 266435125]	[1083355, 177699992]	[2769829, 184226339]	[2868062, 173707219]	[4886684, 147991367]	[3184977, 145729302]	[2702043, 133307652]	[1079279, 122095297]	[1213898, 16313]	[1423189, 159970021]	[5418, 3310458]	[0, 0]
HIGADO_30	[1679669, 112626471]	[994936, 90463843]	[4692043, 52716770]	[1114244, 114033958]	[12743283, 115493446]	[583062, 111246239]	[844084, 90668790]	[618001, 90843779]	[558801, 88201929]	[1277347, 62275575]	[6317364, 282763074]	[815745, 56205956]	[2689284, 266435125]	[1387635, 177699992]	[2798703, 184226339]	[2752416, 173707219]	[5966535, 147991367]	[4405556, 145729302]	[3545900, 133307652]	[1370094, 122095297]	[1487505, 16313]	[1754501, 159970021]	[1804, 3310458]	[0, 0]
HIGADO_31	[1231539, 112626471]	[769225, 90463843]	[2754016, 52716770]	[788530, 114033958]	[11605160, 115493446]	[495083, 111246239]	[568452, 90668790]	[513658, 90843779]	[497720, 88201929]	[861916, 62275575]	[4990521, 282763074]	[522236, 56205956]	[1764969, 266435125]	[1046084, 177699992]	[2829627, 184226339]	[3636728, 173707219]	[4386808, 147991367]	[2535171, 145729302]	[2345461, 133307652]	[1043372, 122095297]	[1119744, 16313]	[1146275, 159970021]	[6449, 3310458]	[0, 0]
HIGADO_32	[1272332, 112626471]	[828343, 90463843]	[2455965, 52716770]	[862008, 114033958]	[8851477, 115493446]	[484121, 111246239]	[638223, 90668790]	[517174, 90843779]	[570309, 88201929]	[849921, 62275575]	[4567725, 282763074]	[553605, 56205956]	[1812129, 266435125]	[1114866, 177699992]	[2692364, 184226339]	[3299969, 173707219]	[3708403, 147991367]	[2304853, 145729302]	[2464606, 133307652]	[1101403, 122095297]	[1019543, 16313]	[1038155, 159970021]	[5506, 3310458]	[0, 0]
HIGADO_33	[1503277, 112626471]	[1022380, 90463843]	[3420500, 52716770]	[965968, 114033958]	[18207762, 115493446]	[517300, 111246239]	[759317, 90668790]	[544585, 90843779]	[518169, 88201929]	[1042022, 62275575]	[6309550, 282763074]	[717756, 56205956]	[2151499, 266435125]	[1254888, 177699992]	[2509449, 184226339]	[3142534, 173707219]	[5615399, 147991367]	[3127641, 145729302]	[2889026, 133307652]	[1294433, 122095297]	[1599732, 16313]	[1383916, 159970021]	[1528, 3310458]	[0, 0]
HIGADO_34	[2951865, 112626471]	[1776383, 90463843]	[4171332, 52716770]	[1763297, 114033958]	[36152322, 115493446]	[1086962, 111246239]	[1259994, 90668790]	[1106465, 90843779]	[1087436, 88201929]	[1593587, 62275575]	[10137395, 282763074]	[1272926, 56205956]	[3971669, 266435125]	[2436474, 177699992]	[5247310, 184226339]	[8721685, 173707219]	[7780428, 147991367]	[4775966, 145729302]	[4881031, 133307652]	[2238298, 122095297]	[3050604, 16313]	[1946572, 159970021]	[12704, 3310458]	[0, 0]
HIGADO_35	[1581778, 112626471]	[849351, 90463843]	[3878989, 52716770]	[800411, 114033958]	[17068903, 115493446]	[504223, 111246239]	[625341, 90668790]	[585720, 90843779]	[558274, 88201929]	[993295, 62275575]	[5739521, 282763074]	[566922, 56205956]	[2045311, 266435125]	[1167949, 177699992]	[3006946, 184226339]	[3897730, 173707219]	[5826533, 147991367]	[3402688, 145729302]	[2756497, 133307652]	[1194423, 122095297]	[1391196, 16313]	[1502615, 159970021]	[5846, 3310458]	[0, 0]
HIGADO_36	[1794365, 112626471]	[1166650, 90463843]	[5031770, 52716770]	[1217416, 114033958]	[18730333, 115493446]	[610945, 111246239]	[938230, 90668790]	[667767, 90843779]	[609214, 88201929]	[1262675, 62275575]	[6679230, 282763074]	[847458, 56205956]	[2790772, 266435125]	[1454982, 177699992]	[2917602, 184226339]	[3053091, 173707219]	[6763389, 147991367]	[4787406, 145729302]	[3712765, 133307652]	[1484330, 122095297]	[1830994, 16313]	[2040928, 159970021]	[1936, 3310458]	[0, 0]
HIGADO_37	[1373255, 112626471]	[869738, 90463843]	[2862824, 52716770]	[891759, 114033958]	[10677373, 115493446]	[514196, 111246239]	[711131, 90668790]	[532066, 90843779]	[496828, 88201929]	[794346, 62275575]	[5293128, 282763074]	[687415, 56205956]	[1994431, 266435125]	[1184546, 177699992]	[2326315, 184226339]	[2622559, 173707219]	[3996581, 147991367]	[2671381, 145729302]	[2571008, 133307652]	[1176126, 122095297]	[1740954, 16313]	[1201346, 159970021]	[2383, 3310458]	[0, 0]
HIGADO_38	[1361211, 112626471]	[862950, 90463843]	[3558700, 52716770]	[826905, 114033958]	[10340547, 115493446]	[493878, 111246239]	[667444, 90668790]	[530792, 90843779]	[501134, 88201929]	[965840, 62275575]	[5039709, 282763074]	[598427, 56205956]	[1881639, 266435125]	[1151401, 177699992]	[2461710, 184226339]	[2304642, 173707219]	[4346191, 147991367]	[2944938, 145729302]	[2542046, 133307652]	[1118938, 122095297]	[1339936, 16313]	[1323882, 159970021]	[1643, 3310458]	[0, 0]
HIGADO_39	[1652672, 112626471]	[970907, 90463843]	[4125039, 52716770]	[1019597, 114033958]	[13675858, 115493446]	[656500, 111246239]	[716098, 90668790]	[612792, 90843779]	[632438, 88201929]	[1124824, 62275575]	[5859312, 282763074]	[691596, 56205956]	[2348229, 266435125]	[1344988, 177699992]	[3243384, 184226339]	[4199626, 173707219]	[6045131, 147991367]	[3656218, 145729302]	[3216032, 133307652]	[1252782, 122095297]	[2280248, 16313]	[1607214, 159970021]	[7137, 3310458]	[0, 0]
HIGADO_40	[1339473, 112626471]	[817553, 90463843]	[3248302, 52716770]	[896842, 114033958]	[13444203, 115493446]	[543028, 111246239]	[622074, 90668790]	[544753, 90843779]	[552276, 88201929]	[934309, 62275575]	[5774785, 282763074]	[545062, 56205956]	[1984900, 266435125]	[1130061, 177699992]	[3084520, 184226339]	[4216006, 173707219]	[5146235, 147991367]	[2998389, 145729302]	[2684646, 133307652]	[1082190, 122095297]	[1758959, 16313]	[1395860, 159970021]	[6324, 3310458]	[0, 0]
HIGADO_41	[1996575, 112626471]	[1358802, 90463843]	[4861754, 52716770]	[1253948, 114033958]	[33660145, 115493446]	[802344, 111246239]	[976483, 90668790]	[916223, 90843779]	[813598, 88201929]	[1461139, 62275575]	[9944245, 282763074]	[983322, 56205956]	[2863843, 266435125]	[1733257, 177699992]	[3888652, 184226339]	[5157696, 173707219]	[9019199, 147991367]	[4606269, 145729302]	[4244446, 133307652]	[1728363, 122095297]	[3091321, 16313]	[2088114, 159970021]	[3070, 3310458]	[0, 0]
HIGADO_42	[2033986, 112626471]	[1288675, 90463843]	[6866995, 52716770]	[1383916, 114033958]	[19363326, 115493446]	[813458, 111246239]	[972556, 90668790]	[858136, 90843779]	[885765, 88201929]	[1628587, 62275575]	[7554049, 282763074]	[921402, 56205956]	[3114872, 266435125]	[1807265, 177699992]	[4837260, 184226339]	[7032650, 173707219]	[8128150, 147991367]	[5562723, 145729302]	[4647858, 133307652]	[1703285, 122095297]	[2028644, 16313]	[2567877, 159970021]	[10312, 3310458]	[0, 0]
HIGADO_43	[1898609, 112626471]	[1160513, 90463843]	[4576789, 52716770]	[1274869, 114033958]	[22944432, 115493446]	[731170, 111246239]	[940061, 90668790]	[784111, 90843779]	[768320, 88201929]	[1243578, 62275575]	[6664517, 282763074]	[852125, 56205956]	[2815523, 266435125]	[1617109, 177699992]	[4215178, 184226339]	[6292294, 173707219]	[6304122, 147991367]	[4082140, 145729302]	[3775256, 133307652]	[1561117, 122095297]	[2581671, 16313]	[1793572, 159970021]	[8923, 3310458]	[0, 0]
HIGADO_44	[1221775, 112626471]	[832852, 90463843]	[3144063, 52716770]	[860665, 114033958]	[17480778, 115493446]	[528440, 111246239]	[627875, 90668790]	[542626, 90843779]	[519182, 88201929]	[973233, 62275575]	[5149185, 282763074]	[662915, 56205956]	[1880585, 266435125]	[1114935, 177699992]	[2751306, 184226339]	[3474395, 173707219]	[4704791, 147991367]	[3062692, 145729302]	[2810882, 133307652]	[1046758, 122095297]	[2634346, 16313]	[1410422, 159970021]	[5773, 3310458]	[0, 0]
HIGADO_45	[1616842, 112626471]	[1053524, 90463843]	[5227738, 52716770]	[1082840, 114033958]	[31396088, 115493446]	[675611, 111246239]	[751712, 90668790]	[662477, 90843779]	[669533, 88201929]	[1262983, 62275575]	[8817722, 282763074]	[802234, 56205956]	[2532821, 266435125]	[1432523, 177699992]	[3561487, 184226339]	[6399192, 173707219]	[8358943, 147991367]	[4371243, 145729302]	[3751933, 133307652]	[1319114, 122095297]	[2760954, 16313]	[1885289, 159970021]	[7605, 3310458]	[0, 0]
