Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GRASO_165	GRASO_165_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47651618.0	0.0	20-100	49.0	47.39535181107008	95.19524168098552	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_166	GRASO_166_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36833197.0	0.0	20-100	48.0	50.58664537413373	95.37591825113633	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_167	GRASO_167_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31204861.0	0.0	20-100	49.0	46.986969535687166	92.74422558716093	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_168	GRASO_168_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38887259.0	0.0	20-100	50.0	48.822634460040085	96.8406905716857	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_169	GRASO_169_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38648094.0	0.0	20-100	62.0	29.483060608738608	92.83270621314469	98	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_170	GRASO_170_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38656728.0	0.0	20-100	49.0	57.017788490944696	97.80777203906135	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_171	GRASO_171_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41941579.0	0.0	20-100	48.0	58.86236302737654	96.86789331417398	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_172	GRASO_172_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28700481.0	0.0	20-100	49.0	45.55703898546814	88.58890141945704	98	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_173	GRASO_173_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22697631.0	0.0	20-100	50.0	56.036682151928765	92.88956543526503	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_174	GRASO_174_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22831958.0	0.0	18-100	49.0	65.39463120294462	97.97964651126286	98	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_175	GRASO_175_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28872588.0	0.0	20-100	49.0	50.939770994875374	96.10401069692817	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	fail	pass
GRASO_176	GRASO_176_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26970756.0	0.0	18-100	51.0	57.98509679489563	97.71263475150641	98	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_177	GRASO_177_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21815021.0	0.0	20-100	49.0	65.76074447150965	98.12013291208842	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_178	GRASO_178_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36950485.0	0.0	20-100	48.0	64.44905816754186	97.98242361365487	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_179	GRASO_179_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50845395.0	0.0	20-100	48.0	68.1588971687587	97.45469449101536	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_180	GRASO_180_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38612006.0	0.0	20-100	49.0	59.0780918787976	96.8302121366085	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
HIGADO_01	HIGADO_01_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27001110.0	0.0	20-100	53.0	37.444080756450376	97.55125644834601	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_02	HIGADO_02_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40596991.0	0.0	20-100	52.0	33.29013665622581	97.79677099714114	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_03	HIGADO_03_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34964183.0	0.0	20-100	53.0	32.97127666774307	98.01027937646934	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_04	HIGADO_04_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32538559.0	0.0	20-100	54.0	35.42837641558449	97.74984792657844	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_05	HIGADO_05_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32131213.0	0.0	20-100	51.0	35.712080663601284	98.27637773899168	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_06	HIGADO_06_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35888635.0	0.0	20-100	52.0	34.97025788727445	97.62213619994185	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_07	HIGADO_07_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51119811.0	0.0	20-100	53.0	31.492515410731297	97.73632500323602	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_08	HIGADO_08_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39608928.0	0.0	20-100	53.0	31.272721102713408	97.88676775094746	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_09	HIGADO_09_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30676462.0	0.0	20-100	53.0	36.836943485677324	97.59333615460609	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_10	HIGADO_10_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38501096.0	0.0	20-100	56.0	33.15608434577968	97.44338291045014	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_11	HIGADO_11_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44426899.0	0.0	20-100	53.0	35.42015773786913	97.94661671074545	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_12	HIGADO_12_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41688577.0	0.0	20-100	53.0	32.70897359084002	98.02520772057055	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_13	HIGADO_13_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58688681.0	0.0	20-100	54.0	30.480911468520794	97.83302313439282	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_14	HIGADO_14_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54877437.0	0.0	20-100	52.0	31.03124778611022	97.91676743212334	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_15	HIGADO_15_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54125423.0	0.0	20-100	54.0	31.566624353325267	97.76680415042668	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_16	HIGADO_16_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33998921.0	0.0	20-100	55.0	30.851978691208977	97.85579377651426	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_17	HIGADO_17_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48762329.0	0.0	20-100	52.0	31.615317884564565	97.54032380200708	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_18	HIGADO_18_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62122436.0	0.0	20-100	55.0	27.69684966331515	97.94330843690676	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_19	HIGADO_19_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45815288.0	0.0	20-100	53.0	33.51640120021323	98.05099455011612	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_20	HIGADO_20_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31004589.0	0.0	20-100	53.0	37.23720549047141	98.0673396444636	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_21	HIGADO_21_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73584095.0	0.0	20-100	53.0	30.62425420012887	97.5647438756976	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_22	HIGADO_22_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21233255.0	0.0	20-100	54.0	34.67660191606447	97.36934925898078	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_23	HIGADO_23_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45819837.0	0.0	20-100	53.0	33.56536941666531	98.01626343629289	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_24	HIGADO_24_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48151411.0	0.0	20-100	53.0	30.21486901714743	97.83500965319583	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_25	HIGADO_25_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19526714.0	0.0	20-100	51.0	39.426785503417264	98.20540783257235	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_26	HIGADO_26_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27478589.0	0.0	20-100	51.0	38.65245651760137	98.21771459953784	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_27	HIGADO_27_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40571810.0	0.0	20-100	50.0	33.60330164950529	98.23174529309883	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_28	HIGADO_28_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25215078.0	0.0	20-100	51.0	37.509727419411405	98.23041879941835	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_29	HIGADO_29_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27071794.0	0.0	20-100	52.0	37.29656549747875	97.9936398747715	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_30	HIGADO_30_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34157456.0	0.0	20-100	51.0	35.53024452544273	98.13888587018893	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_31	HIGADO_31_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25972145.0	0.0	20-100	52.0	39.41283665226178	98.20282645118454	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_32	HIGADO_32_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26221391.0	0.0	20-100	51.0	38.2687798945109	98.28196040400755	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_33	HIGADO_33_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32138088.0	0.0	20-100	53.0	34.20509254080131	97.8296899305273	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_34	HIGADO_34_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58668690.0	0.0	20-100	52.0	32.01520412600306	97.66923774844811	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_35	HIGADO_35_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29583601.0	0.0	20-100	54.0	34.73320666762312	97.11013152185225	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_36	HIGADO_36_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37342565.0	0.0	20-100	52.0	32.864282293628285	97.8629927001533	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_37	HIGADO_37_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28194285.0	0.0	20-100	51.0	39.88998322413052	97.59215167187251	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_38	HIGADO_38_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27456050.0	0.0	20-100	51.0	38.269043257119044	97.72633594417259	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_39	HIGADO_39_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34018935.0	0.0	20-100	52.0	34.6689972697209	97.98340959233438	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_40	HIGADO_40_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29803194.0	0.0	20-100	52.0	34.36521310936798	97.94990879165502	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_41	HIGADO_41_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47733550.0	0.0	20-100	54.0	31.369860937820015	98.00045959288593	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_42	HIGADO_42_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44901412.0	0.0	20-100	52.0	32.99624099122773	97.72798472350937	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_43	HIGADO_43_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42964244.0	0.0	20-100	52.0	33.77534489682225	97.55866026642992	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_44	HIGADO_44_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30202693.0	0.0	20-100	52.0	33.45761857030751	97.61253832563871	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_45	HIGADO_45_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40682468.0	0.0	20-100	55.0	30.41840422153629	97.43677487806295	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_46	HIGADO_46_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28132320.0	0.0	20-100	52.0	33.76870683576842	98.13354184795281	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_47	HIGADO_47_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25788656.0	0.0	20-100	55.0	33.255301305056264	97.7519324775979	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_48	HIGADO_48_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33844657.0	0.0	20-100	57.0	30.659515361809536	97.84900269487146	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_49	HIGADO_49_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53705876.0	0.0	20-100	53.0	31.215894837685664	97.98303306699624	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_50	HIGADO_50_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32142002.0	0.0	20-100	53.0	34.02202411367588	97.90613098711151	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_51	HIGADO_51_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30215314.0	0.0	20-100	52.0	37.63855189074489	97.83955910569058	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_52	HIGADO_52_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41420255.0	0.0	20-100	55.0	32.233151939847595	97.80493524243151	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_53	HIGADO_53_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27946587.0	0.0	20-100	54.0	36.24267812388507	97.91260299513498	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_54	HIGADO_54_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31676144.0	0.0	20-100	51.0	35.494023129813435	97.45610778887733	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
HIGADO_55	HIGADO_55_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28108780.0	0.0	20-100	53.0	34.46743369504738	98.02710042911859	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
