Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
MUSCULO_120	Unknown Library	29536986.0	0.0	21205614.0	0.0	23721469.0	0.0	0.0	0.803111	
MUSCULO_61	Unknown Library	43938082.0	0.0	48254949.0	0.0	36810450.0	0.0	0.0	0.83778	
MUSCULO_62	Unknown Library	56562039.0	0.0	32190829.0	0.0	47789949.0	0.0	0.0	0.844912	
MUSCULO_63	Unknown Library	47985848.0	0.0	43624935.0	0.0	40154590.0	0.0	0.0	0.836801	
MUSCULO_64	Unknown Library	28339277.0	0.0	28037872.0	0.0	23341567.0	0.0	0.0	0.823647	
MUSCULO_65	Unknown Library	22847154.0	0.0	18962770.0	0.0	17977895.0	0.0	0.0	0.786877	
MUSCULO_66	Unknown Library	22558039.0	0.0	11582887.0	0.0	17581261.0	0.0	0.0	0.779379	
MUSCULO_67	Unknown Library	25119456.0	0.0	20092854.0	0.0	20768457.0	0.0	0.0	0.826788	
MUSCULO_68	Unknown Library	22456975.0	0.0	16420511.0	0.0	17996404.0	0.0	0.0	0.801373	
MUSCULO_69	Unknown Library	23343020.0	0.0	16889737.0	0.0	18173154.0	0.0	0.0	0.778526	
MUSCULO_70	Unknown Library	25263052.0	0.0	21266529.0	0.0	20737404.0	0.0	0.0	0.820859	
MUSCULO_71	Unknown Library	25244564.0	0.0	16706734.0	0.0	20025716.0	0.0	0.0	0.793268	
MUSCULO_72	Unknown Library	17521825.0	0.0	15222700.0	0.0	13719814.0	0.0	0.0	0.783013	
MUSCULO_73	Unknown Library	35809576.0	0.0	37119722.0	0.0	29683599.0	0.0	0.0	0.828929	
MUSCULO_74	Unknown Library	36097189.0	0.0	19755246.0	0.0	28927860.0	0.0	0.0	0.801388	
MUSCULO_75	Unknown Library	29919875.0	0.0	16090890.0	0.0	24211632.0	0.0	0.0	0.809216	
MUSCULO_76	Unknown Library	28464735.0	0.0	11743486.0	0.0	21810596.0	0.0	0.0	0.766232	
MUSCULO_77	Unknown Library	56269422.0	0.0	33984587.0	0.0	46326464.0	0.0	0.0	0.823297	
MUSCULO_78	Unknown Library	47702265.0	0.0	47721476.0	0.0	40367843.0	0.0	0.0	0.846246	
MUSCULO_79	Unknown Library	36246543.0	0.0	26605973.0	0.0	29686361.0	0.0	0.0	0.819012	
MUSCULO_80	Unknown Library	27478819.0	0.0	24949043.0	0.0	22058961.0	0.0	0.0	0.802762	
MUSCULO_81	Unknown Library	25986067.0	0.0	24245740.0	0.0	20767711.0	0.0	0.0	0.799186	
MUSCULO_82	Unknown Library	38398774.0	0.0	17169653.0	0.0	31551753.0	0.0	0.0	0.821686	
MUSCULO_83	Unknown Library	47282436.0	0.0	49207415.0	0.0	39776260.0	0.0	0.0	0.841248	
MUSCULO_84	Unknown Library	35780827.0	0.0	16658589.0	0.0	28896594.0	0.0	0.0	0.8076	
MUSCULO_85	Unknown Library	36057904.0	0.0	23992298.0	0.0	29556579.0	0.0	0.0	0.819698	
MUSCULO_86	Unknown Library	31295939.0	0.0	37599932.0	0.0	26163559.0	0.0	0.0	0.836005	
MUSCULO_87	Unknown Library	33975640.0	0.0	31350767.0	0.0	27448639.0	0.0	0.0	0.807892	
MUSCULO_88	Unknown Library	42469550.0	0.0	44763187.0	0.0	35287684.0	0.0	0.0	0.830894	
MUSCULO_89	Unknown Library	25851052.0	0.0	9060701.0	0.0	21113155.0	0.0	0.0	0.816723	
MUSCULO_90	Unknown Library	82250863.0	0.0	53615041.0	0.0	71671692.0	0.0	0.0	0.871379	
MUSCULO_91	Unknown Library	37471584.0	0.0	27028415.0	0.0	29950317.0	0.0	0.0	0.799281	
MUSCULO_92	Unknown Library	42598129.0	0.0	15729558.0	0.0	34420670.0	0.0	0.0	0.808032	
MUSCULO_93	Unknown Library	38665636.0	0.0	26387536.0	0.0	32201764.0	0.0	0.0	0.832826	
MUSCULO_94	Unknown Library	29430478.0	0.0	29190961.0	0.0	24271347.0	0.0	0.0	0.824701	
MUSCULO_95	Unknown Library	42847365.0	0.0	33865952.0	0.0	35837943.0	0.0	0.0	0.836409	
MUSCULO_96	Unknown Library	35462080.0	0.0	25415857.0	0.0	26722693.0	0.0	0.0	0.753557	
MUSCULO_97	Unknown Library	25786518.0	0.0	57120415.0	0.0	21574002.0	0.0	0.0	0.836639	
MUSCULO_98	Unknown Library	45412472.0	0.0	19557607.0	0.0	34975691.0	0.0	0.0	0.770178	
MUSCULO_99	Unknown Library	42140670.0	0.0	38746296.0	0.0	35394025.0	0.0	0.0	0.839902	
