	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
GRASO_121	1480.0	5204.0	18228.0	9869.0	9170.0	8398.0	13991.0	26867.0	18488.0	17450.0	16218.0	17595.0	21289.0	22599.0	24593.0	32225.0	34630.0	34806.0	42483.0	44392.0	51862.0	64118.0	74373.0	82304.0	95548.0	112644.0	133762.0	154511.0	177061.0	199191.0	218621.0	255372.0	306361.0	351179.0	390780.0	433349.0	525895.0	882818.0	3828985.0	11695827.0	25526229.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
GRASO_122	1590.0	5199.0	17058.0	9752.0	9795.0	8364.0	11985.0	30412.0	21120.0	17945.0	17066.0	16480.0	21058.0	20559.0	21102.0	30887.0	33033.0	28075.0	31856.0	33354.0	38242.0	47086.0	54104.0	61905.0	73263.0	86389.0	105265.0	122209.0	142587.0	165528.0	185786.0	218851.0	265426.0	310231.0	361793.0	415351.0	516296.0	953991.0	4593525.0	14561029.0	32122903.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
GRASO_123	2417.0	8570.0	30214.0	21659.0	24561.0	27136.0	31646.0	91045.0	72676.0	57869.0	50541.0	53719.0	74240.0	74008.0	77210.0	109720.0	120781.0	104760.0	141965.0	120526.0	123595.0	147413.0	158019.0	161700.0	170768.0	188547.0	221233.0	243842.0	283431.0	310696.0	335054.0	352693.0	424823.0	472530.0	553246.0	577304.0	686921.0	1036598.0	5219578.0	16517214.0	30866377.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
GRASO_124	1276.0	6560.0	36019.0	16571.0	22869.0	35505.0	73382.0	342442.0	154564.0	89737.0	98663.0	94840.0	172191.0	123704.0	123489.0	179432.0	156194.0	116139.0	118577.0	98657.0	94660.0	92883.0	100088.0	112947.0	133530.0	142428.0	139265.0	157401.0	187165.0	214968.0	225512.0	252694.0	277854.0	295697.0	322251.0	347741.0	399229.0	598540.0	2155598.0	7288974.0	15065266.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
GRASO_125	1704.0	5676.0	17952.0	10051.0	8580.0	7632.0	8764.0	16753.0	12167.0	10942.0	10460.0	11011.0	14464.0	14117.0	15055.0	21814.0	23412.0	20723.0	27009.0	27538.0	31668.0	40581.0	46979.0	52443.0	60123.0	72440.0	88548.0	105962.0	122624.0	141456.0	162455.0	192257.0	234430.0	271930.0	312220.0	361604.0	462005.0	873251.0	4463634.0	14276668.0	31348158.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
GRASO_126	1493.0	5273.0	17250.0	10232.0	9142.0	8588.0	10552.0	25666.0	17523.0	14218.0	14040.0	14127.0	18683.0	17862.0	19184.0	28552.0	31792.0	29437.0	36293.0	35870.0	42643.0	53480.0	62626.0	71682.0	82552.0	97800.0	116248.0	137752.0	163625.0	190413.0	211865.0	247182.0	298921.0	337715.0	390840.0	437823.0	544068.0	872156.0	4104855.0	14048826.0	27110544.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
GRASO_127	1762.0	5962.0	18952.0	11136.0	9546.0	8625.0	10518.0	21158.0	15301.0	14299.0	13489.0	14595.0	18493.0	18779.0	20070.0	29103.0	31551.0	30187.0	36317.0	39372.0	46313.0	57326.0	66713.0	75600.0	89486.0	105662.0	127060.0	149186.0	170265.0	194213.0	217536.0	256708.0	313051.0	360440.0	409644.0	470767.0	589994.0	1074461.0	5190176.0	16244001.0	34835794.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
