Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
MUSCULO_114	1046627.0	28762.0	60914.0
MUSCULO_115	1337528.0	40134.0	75190.0
MUSCULO_116	1664848.0	55415.0	92117.0
MUSCULO_117	946621.0	29124.0	50287.0
MUSCULO_118	1426496.0	44054.0	75557.0
MUSCULO_119	1065906.0	31856.0	58571.0
MUSCULO_120	1298734.0	38791.0	66804.0
MUSCULO_61	1565150.0	49866.0	85016.0
MUSCULO_62	1874645.0	61947.0	98826.0
MUSCULO_63	1732943.0	54876.0	92246.0
MUSCULO_64	1219344.0	36481.0	66841.0
MUSCULO_65	1066589.0	30736.0	60045.0
MUSCULO_66	1046596.0	29638.0	57628.0
MUSCULO_67	1005187.0	30124.0	57801.0
MUSCULO_68	986857.0	29698.0	56360.0
MUSCULO_69	1040809.0	29702.0	58943.0
MUSCULO_70	1051552.0	30505.0	59283.0
MUSCULO_71	1161730.0	33865.0	61171.0
MUSCULO_72	858431.0	24117.0	49239.0
MUSCULO_73	1392282.0	42944.0	76666.0
MUSCULO_74	1521502.0	44606.0	82525.0
MUSCULO_75	1324926.0	39716.0	69658.0
MUSCULO_76	1357592.0	37464.0	67797.0
MUSCULO_77	1910292.0	61144.0	103232.0
MUSCULO_78	1688334.0	54139.0	91455.0
MUSCULO_79	1417257.0	44045.0	77272.0
MUSCULO_80	1146473.0	33601.0	66542.0
MUSCULO_81	1242110.0	37241.0	66526.0
MUSCULO_82	1309278.0	41240.0	75710.0
MUSCULO_83	1659704.0	51946.0	90781.0
MUSCULO_84	1505809.0	45508.0	74928.0
MUSCULO_85	1448620.0	43759.0	78835.0
MUSCULO_86	1174819.0	35819.0	67390.0
MUSCULO_87	1383575.0	41144.0	74841.0
MUSCULO_88	1384221.0	44501.0	83036.0
MUSCULO_89	1078293.0	31164.0	57913.0
MUSCULO_90	2228303.0	76889.0	122006.0
MUSCULO_91	1571602.0	49492.0	78186.0
MUSCULO_92	1496016.0	46230.0	81088.0
MUSCULO_93	1425454.0	44235.0	81400.0
MUSCULO_94	1112799.0	33715.0	64773.0
MUSCULO_95	1528319.0	48079.0	81680.0
MUSCULO_96	1235008.0	36763.0	76687.0
MUSCULO_97	952455.0	27621.0	57583.0
MUSCULO_98	1436086.0	44354.0	85502.0
MUSCULO_99	1470351.0	47371.0	78861.0
