Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
GRASO_168	5117622.0	167305.0	1273321.0	4570321.0	71734.0	119156.0	107810.0	336005.0	466039.0	131203.0	1541581.0
GRASO_169	2376675.0	188428.0	406907.0	1843799.0	86353.0	68175.0	61430.0	103286.0	136993.0	55467.0	788473.0
GRASO_170	5416641.0	170493.0	1366531.0	5858002.0	82379.0	161485.0	136647.0	373658.0	533239.0	157422.0	1647526.0
GRASO_171	5609906.0	179183.0	1441253.0	6770568.0	85835.0	163826.0	144579.0	394136.0	561799.0	166473.0	1832480.0
GRASO_172	3356463.0	93280.0	889056.0	2771946.0	44401.0	82235.0	67474.0	234034.0	321735.0	90183.0	848132.0
GRASO_173	3402258.0	103955.0	898203.0	3094302.0	44832.0	71852.0	66847.0	232490.0	322145.0	87704.0	987876.0
GRASO_174	4719624.0	119835.0	1222155.0	3387372.0	51110.0	86044.0	73181.0	302942.0	400073.0	96827.0	968777.0
GRASO_175	3557501.0	101141.0	913874.0	3560305.0	49805.0	95952.0	85096.0	240328.0	325663.0	96752.0	1139604.0
GRASO_176	4578711.0	134929.0	1221307.0	2970571.0	56704.0	80736.0	68808.0	286128.0	358615.0	88005.0	983284.0
GRASO_177	4281438.0	129261.0	1087656.0	3849419.0	56285.0	92069.0	80304.0	276924.0	377008.0	102551.0	1019796.0
GRASO_178	5416798.0	169694.0	1366306.0	7394786.0	85536.0	176504.0	159415.0	372773.0	530650.0	168783.0	2011185.0
GRASO_179	5460323.0	192549.0	1332854.0	13286892.0	124561.0	289597.0	270836.0	397782.0	615385.0	235927.0	2906181.0
GRASO_180	4954253.0	165589.0	1261411.0	7088639.0	85997.0	169969.0	150760.0	347944.0	499680.0	160016.0	1852508.0
HIGADO_01	3612509.0	120250.0	906203.0	857504.0	34176.0	31812.0	25746.0	195778.0	224411.0	42595.0	424401.0
HIGADO_02	4541757.0	157695.0	1129312.0	1161305.0	46034.0	44143.0	37697.0	247753.0	287818.0	57584.0	574638.0
HIGADO_03	3886947.0	125137.0	974801.0	827840.0	35161.0	33383.0	25978.0	213483.0	245049.0	44832.0	443028.0
HIGADO_04	3849074.0	128202.0	989863.0	1220107.0	39805.0	41623.0	35347.0	219834.0	256485.0	52222.0	553044.0
HIGADO_05	4155045.0	127927.0	1047137.0	908275.0	35719.0	36367.0	29709.0	225545.0	256332.0	48749.0	455930.0
HIGADO_06	4224228.0	134845.0	1012081.0	872011.0	36823.0	36483.0	30447.0	222696.0	258550.0	49482.0	476566.0
HIGADO_07	5160252.0	180685.0	1270597.0	1069652.0	52480.0	47907.0	38675.0	283665.0	330842.0	64676.0	615047.0
HIGADO_08	4069571.0	138514.0	983133.0	856686.0	40266.0	36785.0	30516.0	214382.0	246247.0	47727.0	475580.0
HIGADO_09	3751061.0	126549.0	949348.0	1196704.0	39400.0	40558.0	35084.0	210559.0	250218.0	51091.0	533845.0
HIGADO_10	4150405.0	160540.0	1031055.0	1444185.0	50393.0	46118.0	37269.0	229830.0	270644.0	54630.0	578623.0
HIGADO_11	4909437.0	178385.0	1212159.0	1198937.0	56142.0	48120.0	38997.0	275630.0	333092.0	64446.0	620913.0
HIGADO_12	4424254.0	152669.0	1074619.0	1320563.0	47520.0	47413.0	40648.0	240664.0	284773.0	59885.0	613207.0
HIGADO_13	5477381.0	200542.0	1332852.0	1039285.0	58281.0	46986.0	36358.0	299232.0	347842.0	64049.0	598481.0
HIGADO_14	5497883.0	184919.0	1368199.0	1089376.0	53941.0	46416.0	35017.0	303631.0	346140.0	62401.0	600197.0
HIGADO_15	5485088.0	193808.0	1318190.0	906800.0	53419.0	42648.0	32828.0	290810.0	336986.0	61955.0	560877.0
HIGADO_16	3717375.0	123913.0	875543.0	618441.0	33972.0	29696.0	24024.0	189065.0	212491.0	40096.0	395912.0
HIGADO_17	5038283.0	167752.0	1246680.0	1236635.0	49941.0	48386.0	40215.0	283136.0	338417.0	68338.0	655849.0
HIGADO_18	5089630.0	187081.0	1261204.0	1451189.0	57503.0	56225.0	46980.0	289080.0	345307.0	74544.0	729171.0
HIGADO_19	4958127.0	174487.0	1244788.0	1114634.0	51643.0	44537.0	35332.0	283132.0	330063.0	61535.0	589460.0
HIGADO_20	4006366.0	136621.0	988268.0	788509.0	38410.0	32950.0	26201.0	213850.0	238590.0	42452.0	427878.0
HIGADO_21	6466531.0	244570.0	1583883.0	1953897.0	79197.0	75076.0	60958.0	363516.0	428216.0	91421.0	902200.0
HIGADO_22	2803981.0	96900.0	689740.0	515215.0	25340.0	20728.0	16215.0	146170.0	162505.0	28215.0	289299.0
HIGADO_23	4858613.0	173721.0	1212399.0	1280393.0	51804.0	47781.0	38993.0	276551.0	328844.0	64945.0	627914.0
HIGADO_24	4913629.0	182750.0	1150345.0	994305.0	51613.0	43163.0	32413.0	251815.0	290652.0	54486.0	524128.0
HIGADO_25	2985471.0	85673.0	735842.0	524932.0	22495.0	22847.0	19547.0	156403.0	177795.0	32919.0	314129.0
HIGADO_26	3902838.0	129989.0	968340.0	757888.0	36112.0	31893.0	25035.0	206642.0	230129.0	41895.0	405200.0
HIGADO_27	4573104.0	138246.0	1119300.0	1069729.0	39377.0	43645.0	36334.0	250758.0	296448.0	59142.0	554734.0
HIGADO_28	3520219.0	103572.0	875551.0	637693.0	27728.0	26652.0	21043.0	187720.0	213231.0	37237.0	353830.0
HIGADO_29	3644461.0	118039.0	911604.0	772025.0	32463.0	31187.0	24812.0	196051.0	222063.0	41537.0	394010.0
HIGADO_30	4132621.0	132964.0	1042697.0	970593.0	37556.0	35716.0	28931.0	227891.0	261751.0	48115.0	473978.0
HIGADO_31	3449003.0	112905.0	873826.0	787297.0	32194.0	30701.0	25884.0	186630.0	210568.0	41120.0	414210.0
HIGADO_32	3689437.0	113531.0	915004.0	733326.0	31038.0	30905.0	26031.0	197765.0	223853.0	42476.0	404087.0
HIGADO_33	3973586.0	129628.0	964523.0	665902.0	34879.0	30333.0	23161.0	209205.0	239581.0	42543.0	402082.0
